BUSINESSTYPE,BUSINESSNAME,STREETNUMBER,STREET,STREETTYPE,STREETDIR,UNITTYPE,UNITY,CITY,PROV,POSTAL,OBJECTID
Lunch Counter,WOKMANS KITCHEN,888,DUNDAS,ST,E,Unit,F.3,MISSISSAUGA,ON,L4Y 4G6,204
Lunch Counter,YOGEN FRUZ,100,CITY CENTRE,DR,,UNIT,2-K06,MISSISSAUGA,ON,,205
Lunch Counter,YOUNGS MINI MARKET,6675,FALCONER,DR,,Unit,1,MISSISSAUGA,ON,L5N 1R3,206
Lunch Counter,YUAN MING SUPERMARKET,1000,BURNHAMTHORPE,RD,W,,,MISSISSAUGA,ON,L5C 2S4,207
Restaurant,168 SUSHI JAPANESE BUFFET INC.,2366,DUNDAS,ST,W,,,MISSISSAUGA,ON,L5K1R7,208
Restaurant,17 STEAKHOUSE& BAR,5165,DIXIE,RD,,Unit,4,MISSISSAUGA,ON,L4W4G1,209
Restaurant,2 4 1 PIZZA,1125,BLOOR,ST,,Unit,17,MISSISSAUGA,ON,L4Y 2N6,210
Restaurant,2038972 ONTARIO INC/PEEL DISTRICT SCHOOL BOARD,5650,HURONTARIO,ST,,,,MISSISSAUGA,ON,L6P 1C9,211
Restaurant,229 BAR,229,LAKESHORE,RD,E,,,MISSISSAUGA,ON,L5G 1G8,212
Restaurant,3 CASTELOS GRILL HOUSE,1030,DUNDAS,ST,E,,,MISSISSAUGA,ON,L4Y2B8,213
Restaurant,5 STARS SHAWARMA & GRILL,660,EGLINTON,AVE,W,Unit,12B,MISSISSAUGA,ON,L5R 3V2,214
Restaurant,925 RATHBURN EGGSMART,925,RATHBURN,RD,E,Unit,D2,MISSISSAUGA,ON,L4W 4C3,215
Restaurant,A & W,5100,ERIN MILLS,PKWY,,Unit,F.9,MISSISSAUGA,ON,L5M4Z5,216
Restaurant,A & W  #4338,1130,DUNDAS,ST,E,,,MISSISSAUGA,ON,L4Y 2C1,217
Restaurant,A & W ARGENTIA,2930,ARGENTIA,RD,,,,MISSISSAUGA,ON,L5N 8C5,218
Restaurant,A & W PEARSON AIRPORT TERMINAL 1,1,LESTER B PEARSON INTL AIRPORT,,,,,MISSISSAUGA,ON,,219
Restaurant,A & W RESTAURANT,100,CITY CENTRE,DR,,Unit,2-102,MISSISSAUGA,ON,L5B 2C9,220
Restaurant,A & W RESTAURANT,733,CENTRAL PKY,,W,Bldg,4,MISSISSAUGA,ON,L5B 4L1,221
Restaurant,A&W HEARTLAND,5880,MAVIS,RD,,Bldg,E,MISSISSAUGA,ON,L5V 3B7,222
Restaurant,ABBEY ROAD PUB & PATIO,3200,ERIN MILLS,PKWY,,Unit,9,MISSISSAUGA,ON,L5L 1W8,223
Restaurant,ACACIA FINE FOODS INC,1170,BURNHAMTHORPE,RD,W,Unit,18,MISSISSAUGA,ON,L5C4E6,224
Restaurant,ADOBO CAFE,5770,TIMBERLEA,BLVD,,Unit,107,MISSISSAUGA,ON,L4W4W7,225
Restaurant,ADONIS GROUP INC,1240,EGLINTON,AVE,W,Bldg,C,MISSISSAUGA,ON,L5V 1N3,226
Restaurant,AFGHAN KEBOB CUISINE,780,BURNHAMTHORPE,RD,W,Unit,1,MISSISSAUGA,ON,L5C3X3,227
Restaurant,AIELLI RESTAURANT,286,LAKESHORE,RD,E,,,MISSISSAUGA,ON,L5G1H2,228
Restaurant,AIRPORT BUKHARA FINE INDIAN CUISINE,7166,AIRPORT,RD,,,,MISSISSAUGA,ON,L4T2H2,229
Restaurant,AIRPORT GATE STEAK & GRILL,6575,AIRPORT,RD,,,,MISSISSAUGA,ON,L4V1E5,230
Restaurant,AIRPORT GRILL & RESTAURANT,7040,AIRPORT,RD,,,,MISSISSAUGA,ON,L4T2G8,231
Restaurant,AIRPORT STRIP,7040,TORBRAM,RD,,Unit,1,MISSISSAUGA,ON,L4T3Z4,232
Restaurant,AK CATERING SERVICES,2489,NORTH SHERIDAN,WAY,,Bldg,A,MISSISSAUGA,ON,,233
Restaurant,AKO GREEK,2225,ERIN MILLS,PKWY,,Unit,100B,MISSISSAUGA,ON,L5K 1T9,234
Restaurant,AL KABABS,808,BRITANNIA,RD,W,Unit,104,MISSISSAUGA,ON,L5V 0A7,235
Restaurant,AL-SHAMI RESTAURANT,40,DUNDAS,ST,W,Unit,6,MISSISSAUGA,ON,L5B 1H4,236
Restaurant,ALF HANA INC,6550,MEADOWVALE TOWN CENTRE,CIR,,Unit,M5,MISSISSAUGA,ON,L5M 7T9,237
Restaurant,ALL STAR WINGS AND RIBS,4096,CONFEDERATION,PKWY,,,,MISSISSAUGA,ON,L5B 0G4,238
Restaurant,ALLSPICE CARRIBEAN CAFE,3115,WINSTON CHURCHILL,BLVD,,Unit,2,MISSISSAUGA,ON,L5L2W1,239
Restaurant,ALLSTAR WINGS & RIBS,6465,MILLCREEK,DR,,Unit,110,MISSISSAUGA,ON,L5N5R3,240
Restaurant,ALTONA KEBAB,3060,HURONTARIO,ST,,,,MISSISSAUGA,ON,L5B 1N7,241
Restaurant,AMBIANCE OF INDIA,2157,ROYAL WINDSOR,DR,,Unit,23,MISSISSAUGA,,,242
Restaurant,AMICA AT ERIN MILLS,4620,KIMBERMOUNT,AVE,,,,MISSISSAUGA,ON,L5M 5W5,243
Restaurant,AMIGOS CAFE & RESTAURANT,1385,SHAWSON,DR,,Unit,1,MISSISSAUGA,ON,L4W 1C4,244
Restaurant,ANCILAS INDIAN CUISINE,6905,MILLCREEK,DR,,Unit,11,MISSISSAUGA,ON,L5N6A3,245
Restaurant,AND COMPANY RESTO BAR,295,ENFIELD,PL,,,,MISSISSAUGA,ON,L5B3E2,246
Restaurant,ANDIAMO PASTA PLUS,135,QUEEN,ST,S,,,MISSISSAUGA,ON,L5M1K9,247
Restaurant,ANJAPPAR CHETTINAD RESTAURANT,4310,SHERWOODTOWNE,BLVD,,Unit,1,MISSISSAUGA,ON,L4Z 4C4,248
Restaurant,ANNA POORNA TAKE OUT,5390,TERRY FOX,WAY,,Unit,3,MISSISSAUGA,ON,L5V 0A5,249
Restaurant,APPLEWOOD FISH & CHIPS,1020,BURNHAMTHORPE,RD,E,,,MISSISSAUGA,ON,L4Y2X6,250
Restaurant,APPLEWOOD MEATS & GRILL,1077,NORTH SERVICE,RD,,Unit,11,MISSISSAUGA,ON,L4Y 1A6,251
Restaurant,APRICOT TREE CAFE,1900,DUNDAS,ST,W,Unit,10,MISSISSAUGA,ON,L5K1P9,252
Restaurant,APROPOS RESTAURANT/T1B/G163 & 164B,1,LESTER B PEARSON INTL AIRPORT,,,,,MISSISSAUGA,ON,,253
Restaurant,ARABESQUE CULTURAL LOUNGE,2399,CAWTHRA,RD,,Unit,100,MISSISSAUGA,ON,L5A2W9,254
Restaurant,ARAMARK #2317/PANASONIC CANADA INC,5770,AMBLER,DR,,,,MISSISSAUGA,ON,L4W2T3,255
Restaurant,ARAMARK #2517/DAIRY FARMERS OF ONT,6780,CAMPOBELLO,RD,,,,MISSISSAUGA,ON,L5N2L8,256
Restaurant,ARAMARK #2545/CANON CANADA,6390,DIXIE,RD,,,,MISSISSAUGA,ON,L5T1P7,257
Restaurant,ARAMARK /  ORACLE,100,MILVERTON,DR,,,,MISSISSAUGA,ON,L5R 4H1,258
Restaurant,ARAMARK / CITIBANK CANADA,5900,HURONTARIO,ST,,,,MISSISSAUGA,ON,L6R 0B8,259
Restaurant,ARAMARK / HOFFMAN LA ROCHE,7070,MISSISSAUGA,RD,,,,MISSISSAUGA,ON,L5N5M8,260
Restaurant,ARAMARK / MCKESSON COMP 2734,6355,VISCOUNT,RD,,,,MISSISSAUGA,ON,L4V1W2,261
Restaurant,ARAMARK CANADA/ECOLAB COMP.2625,5105,TOMKEN,RD,,,,MISSISSAUGA,ON,L4W2X5,262
Restaurant,ARAMARK CANADA/GEN ELEC CANADA #2384,2300,MEADOWVALE,BLVD,,,,MISSISSAUGA,ON,L5N 5P9,263
Restaurant,ARAMARK CANADA/XEROX RESEARCH COMP.2380,2660,SPEAKMAN,DR,,,,MISSISSAUGA,ON,L5K2L1,264
Restaurant,ARIGATO SUSHI,1550,SOUTH GATEWAY,RD,,Unit,1A,MISSISSAUGA,ON,L4W5G6,265
Restaurant,ARIRANG,1177,CENTRAL PKY,,W,Unit,72,MISSISSAUGA,ON,L5C 4P3,266
Restaurant,ARISTOTLES STEAK & SEAFOOD HOUSE,6905,MILLCREEK,DR,,Unit,2,MISSISSAUGA,ON,L5N 6A3,267
Restaurant,ARKADY CAFE & RESTAURANT,3631,DIXIE,RD,,Unit,21,MISSISSAUGA,ON,L4Y4H2,268
Restaurant,AROMA ESPRESSO BAR,100,CITY CENTRE,DR,,Unit,2-712,MISSISSAUGA,ON,,269
Restaurant,ARTISANO BAKERY CAFE LTD.,3145,DUNDAS,ST,W,Unit,1,MISSISSAUGA,ON,L5L5V8,270
Restaurant,ASAKA SUSHI,380,LAKESHORE,RD,E,,,MISSISSAUGA,ON,L5G 1H5,271
Restaurant,ASIAN GOURMET,2150,BURNHAMTHORPE,RD,W,Unit,50,MISSISSAUGA,ON,L5L 3A2,272
Restaurant,ASIAN KING,2425,TRUSCOTT,DR,,Unit,24,MISSISSAUGA,ON,L1J 2B4,273
Restaurant,ASIAN SWEETS & RESTAURANT,7148,AIRPORT,RD,,,,MISSISSAUGA,ON,L4T2H1,274
Restaurant,ASIAN WOK N ROLL,2911,DERRY,RD,E,,,MISSISSAUGA,ON,L4T1A6,275
Restaurant,ASIAN WOK N ROLL,6905,MILLCREEK,DR,,Unit,13,MISSISSAUGA,ON,L5N 6A3,276
Restaurant,ASTORIA SHISH KEBOB HOUSE DUNDAS LTD,1970,DUNDAS,ST,E,Unit,1,MISSISSAUGA,ON,L4X 2W7,277
Restaurant,ATMOSFERA RESTAURANT BAR LOUNGE,6781,HURONTARIO,ST,,,,MISSISSAUGA,ON,L5T 2W1,278
Restaurant,AVANI ASIAN INDIAN BISTRO,801,MATHESON,BLVD,W,Unit,1-3,MISSISSAUGA,ON,L5V 2N6,279
Restaurant,AVONDALE FOODWORKS LTD.,7070,BRAMALEA,RD,,Unit,16,MISSISSAUGA,ON,L5S 1S8,280
Restaurant,AXIA,5045,PLANTATION,PL,,Unit,B1,Mississauga,ON,L5M 6J3,281
Restaurant,BS SIZZLING KITCHEN,7885,TRANMERE,DR,,,30-32,MISSISSAUGA,ON,L5S1V8,282
Restaurant,BACK ALLEY BAR & RESTAURANT,3415,DIXIE,RD,,Unit,12,MISSISSAUGA,ON,L4Y2B1,283
Restaurant,BAIRRADA CHURRASQUEIRA GRILLHOUSE 2,33,HILLCREST,AVE,,,,MISSISSAUGA,ON,L5B 1K5,284
Restaurant,BAKHTAR KABAB - AFGHAN CUISINE LTD,5925,TOMKEN,RD,,Unit,1,MISSISSAUGA,ON,L4W4L8,285
Restaurant,BAKLAWA KING INC,1590,DUNDAS,ST,E,Unit,4,MISSISSAUGA,ON,L4X 2Z2,286
Restaurant,BAKLAWA KING INC,488,EGLINTON,AVE,W,Unit,2-4,MISSISSAUGA,ON,L5R 0G2,287
Restaurant,BALLERS BISTRO,600,MATHESON,BLVD,W,UNIT,4,MISSISSAUGA,ON,L5R 4B8,288
Restaurant,BAMBOO LEGEND,3145,DUNDAS,ST,W,Unit,10,MISSISSAUGA,ON,L5L 5V8,289
Restaurant,BAMIYAN KABOB,2970,DREW,RD,,Unit,105-6,MISSISSAUGA,ON,L4T 0A6,290
Restaurant,BAMIYAN KABOB,5120,DIXIE,RD,,Unit,8,MISSISSAUGA,ON,L4W 4K2,291
Restaurant,BAR 4 U,35,KING,ST,E,Unit,12&14,MISSISSAUGA,ON,L5A4E2,292
Restaurant,BAR BE Q TONITE,35,DUNDAS,ST,W,,,MISSISSAUGA,ON,L5B1H2,293
Restaurant,BAR BURRITO,40,BRISTOL,RD,E,UNIT,14A,MISSISSAUGA,ON,,294
Restaurant,BAR ONE,5400,DIXIE,RD,,,,MISSISSAUGA,ON,L4W4T4,295
Restaurant,BARAS CARIBBEAN CUISINE INC.,127,DUNDAS,ST,E,,,MISSISSAUGA,ON,L5A1W7,296
Restaurant,BASHU CHINESE RESTAURANT,4559,HURONTARIO,ST,,Unit,7A,MISSISSAUGA,ON,,297
Restaurant,BASKIN 31 ROBBINS,6590,MEADOWVALE TOWN CENTRE,CIR,,Unit,J206,MISSISSAUGA,ON,L5N 4B7,298
Restaurant,BASKIN ROBBINS,660,EGLINTON,AVE,W,Unit,11,MISSISSAUGA,ON,L5R3V2,299
Restaurant,BASKIN ROBBINS #4654,6045,MAVIS,RD,,Unit,9,MISSISSAUGA,ON,L5R 4G6,300
Restaurant,BAYVIEW GARDEN CHINESE CUISINE,1177,CENTRAL PARKWAY,,W,Unit,61,MISSISSAUGA,ON,L5C 4P3,301
Restaurant,BELL MOBILITY - TIM HORTON #23077,5099,CREEKBANK,RD,,,,MISSISSAUGA,ON,L4W 5N2,302
Restaurant,BELL MOBILITY-TIM HORTONS LOWER #23078,5099,CREEKBANK,RD,,,,MISSISSAUGA,ON,L4W 5N2,303
Restaurant,BEN THANH VIET THAI RESTAURANT,2661,DUNDAS,ST,W,Unit,2,MISSISSAUGA,ON,,304
Restaurant,BENAB FAMILY RESTAURANT INC,3085,HURONTARIO,ST,,Unit,17,MISSISSAUGA,ON,L5B 4E4,305
Restaurant,BENTO SUSHI,1,LESTER B PEARSON INTL AIRPORT,,,,,MISSISSAUGA,ON,,306
Restaurant,BERINAS SPECIALTY RESTAURANT & GRILL INC,889,PANTERA,DR,,Unit,1A,MISSISSAUGA,ON,L4W2R9,307
Restaurant,BIER MARKT,55,CITY CENTRE,DR,,Unit,107,MISSISSAUGA,ON,L5B1M3,308
Restaurant,BIRYANI KING,1059,DUNDAS,ST,W,,,MISSISSAUGA,ON,L5C 1C3,309
Restaurant,BISMILLAH SWEETS & CATERING,812,BRITANNIA,RD,W,Unit,103,MISSISSAUGA,ON,,310
Restaurant,BISTRO NARRA,3030,THOMAS,ST,,Unit,A404,MISSISSAUGA,ON,L5M 0R4,311
Restaurant,BLARNEYS GATE FAMILY RESTAURANT,1151,DUNDAS,ST,W,Unit,27/29,MISSISSAUGA,ON,L5C 1C6,312
Restaurant,BLISS CHINESE CUISINE,6485,MISSISSAUGA,RD,,Unit,4,MISSISSAUGA,ON,L5N 1A6,313
Restaurant,BLUE ICE,1590,DUNDAS,ST,E,Unit,3,MISSISSAUGA,ON,L4X 2Z2,314
Restaurant,BLUE LAGOON SEAFOOD MASTER,888,DUNDAS,ST,E,Unit,C3-C4,MISSISSAUGA,ON,L4Y4G6,315
Restaurant,BNC BAKERY,257,DUNDAS,ST,E,Unit,12,MISSISSAUGA,ON,L5A 1W8,316
Restaurant,BOBBYS HIDEAWAY,20,QUEEN,ST,N,,,MISSISSAUGA,ON,L5N1A1,317
Restaurant,BOMBAY BHEL RESTAURANT,5035,HURONTARIO,ST,,Unit,14,MISSISSAUGA,ON,L4Z 3X7,318
Restaurant,BOMBAY BHEL RESTAURANT,6415,ERIN MILLS,PKWY,,Unit,B.2,MISSISSAUGA,ON,L5N 4H4,319
Restaurant,BOMBAY CHOPSTICKS,30,BRISTOL,RD,E,Unit,3,MISSISSAUGA,ON,L4Z 3K8,320
Restaurant,BOMBAY TO GO,755,DUNDAS,ST,W,Unit,A-7,MISSISSAUGA,ON,L5C 3B6,321
Restaurant,BONA VITA SOCIAL BAR INC,3233,BRANDON GATE,DR,,Unit,5,MISSISSAUGA,ON,L4T3V8,322
Restaurant,BOOSTER JUICE,#2-1510,DUNDAS,ST,E,Bldg,C6,MISSISSAUGA,ON,L4X 1L4,323
Restaurant,BOOSTER JUICE,80,COURTNEYPARK,DR,E,Unit,K6,MISSISSAUGA,ON,L5T 2Y3,324
Restaurant,BORDER MX MEXICAN GRILL AND CANTINA INC,3085,HURONTARIO,ST,,Unit,11B,MISSISSAUGA,ON,L5A 4E4,325
Restaurant,BOSTON PIZZA,1510,AIMCO,BLVD,,,,MISSISSAUGA,ON,L4W 5K1,326
Restaurant,BOSTON PIZZA,50,COURTNEYPARK,DR,E,,,MISSISSAUGA,ON,L5T 2Y3,327
Restaurant,BOSTON PIZZA,6978,FINANCIAL,DR,,Bldg,C,MISSISSAUGA,ON,L5N 8J4,328
Restaurant,BOSTON PIZZA RESTAURANT & SPORTS BAR,2915,EGLINTON,AVE,W,,,MISSISSAUGA,ON,L5M 6J3,329
Restaurant,BOSTON PIZZA SQUARE ONE,35,SQUARE ONE,DR,,,,Mississauga,ON,L5B 0E2,330
Restaurant,BOUNTY RESTAURANT,2206,DUNDAS,ST,E,,,MISSISSAUGA,ON,L4X1L9,331
Restaurant,BOURBON ST. GRILL,5100,ERIN MILLS,PKWY,,UNIT,FC13,MISSISSAUGA,ON,L5M 4Z5,332
Restaurant,BRAVO BISTRO,2560,MATHESON,BLVD,E,Unit,121,MISSISSAUGA,ON,L4W 4Y9,333
Restaurant,BRAZIL BAKERY,5700,MAVIS,RD,,Unit,1011,MISSISSAUGA,ON,L5V 2N6,334
Restaurant,BRAZIL BAKERY & PASTRY,2905,EGLINTON,AVE,W,Unit,"E2,3",MISSISSAUGA,ON,L5M 6J3,335
Restaurant,BRISTOL BAR & GRILL,512,BRISTOL,RD,W,Unit,13-15,MISSISSAUGA,ON,L5R3V2,336
Restaurant,BRITANNIA ITALIAN BAKERY,5925,GROSSBEAK,DR,,,123,MISSISSAUGA,ON,L5N6S5,337
Restaurant,BROTHER 888 RESTAURANT,888,DUNDAS,ST,E,Unit,E.1,MISSISSAUGA,ON,L4Y4G6,338
Restaurant,BRUNSWICK MISSISSAUGA BOWL,2561,STANFIELD,RD,,,,MISSISSAUGA,ON,L4Y1R6,339
Restaurant,BUBBLE REPUBLIC TEA HOUSE,4040,CREDITVIEW,RD,,Unit,24,MISSISSAUGA,ON,,340
Restaurant,BUBBLE REPUBLIC TEA HOUSE,4555,HURONTARIO,ST,,,,MISSISSAUGA,ON,L4Z 3M1,341
Restaurant,BUBBLE TEASE,5955,LATIMER,DR,,Unit,11,Mississauga,ON,L5V 0B7,342
Restaurant,BUFFALO WILDWINGS GRILL & BAR,3015,ARGENTIA,RD,,Bldg,S,MISSISSAUGA,ON,L5N 8E1,343
Restaurant,BUK CHANG DONG SOON TOFU RESTAURANT,3085,HURONTARIO,ST,,Unit,12,MISSISSAUGA,ON,L5A4E4,344
Restaurant,BUKAMARANGA BEAN & BAGEL CO.,6465,MILLCREEK,DR,,Unit,105,MISSISSAUGA,ON,L5N 5R3,345
Restaurant,BUKHARA GRILL,1170,BURNHAMTHORPE,RD,W,Unit,15,MISSISSAUGA,ON,L5C4E6,346
Restaurant,BURGER KING,6465,MISSISSAUGA,RD,,,,MISSISSAUGA,ON,L5N1A6,347
Restaurant,BURGER KING # 994,1490,DIXIE,RD,,,,MISSISSAUGA,ON,L5E1V4,348
Restaurant,BURGER KING #10099,769,BURNHAMTHORPE,RD,W,,,MISSISSAUGA,ON,L5A3K5,349
Restaurant,BURGER KING #14733,6010,DIXIE,RD,,,,MISSISSAUGA,ON,L5T1A6,350
Restaurant,BURGER KING #15365,100,CITY CENTRE,DR,,Unit,1-830,MISSISSAUGA,ON,L5B 2C9,351
Restaurant,BURGER KING #17047,7014,TORBRAM,RD,,,,MISSISSAUGA,ON,L4T3Y3,352
Restaurant,BURGER KING #2666,4141,DIXIE,RD,,,,MISSISSAUGA,ON,L4W1V5,353
Restaurant,BURGER KING 5516,5645,HURONTARIO,ST,,,,MISSISSAUGA,ON,L4Z1S7,354
Restaurant,BURGER LEGEND INCORPORATED,236,QUEEN,ST,S,,,MISSISSAUGA,ON,L5M1L5,355
Restaurant,BURRITO BOYZ,19,DUNDAS,ST,E,,,MISSISSAUGA,ON,L5A1V9,356
Restaurant,BURRITO BOYZ,5130,DIXIE,RD,,UNIT,15,MISSISSAUGA,ON,L4W 1C9,357
Restaurant,BURRITO BOYZ,6560,MEADOWVALE TOWN CENTRE,CIR,,UNIT,L-05,MISSISSAUGA,ON,L5N 4B7,358
Restaurant,C U @ CAFE,2560,SHEPARD,AVE,,Unit,5,MISSISSAUGA,ON,L5A 2H6,359
Restaurant,CAFE ATLANTIS,5745,ATLANTIC,DR,,,,MISSISSAUGA,ON,L4W1H3,360
Restaurant,CAFE DORO,6660,KENNEDY,RD,,Unit,12,MISSISSAUGA,ON,L5T2M9,361
Restaurant,CAFE DE KHAN,6400,MILLCREEK,DR,,Unit,13,MISSISSAUGA,ON,L5N 3E7,362
Restaurant,CAFE DEMETRE   CITY CENTRE DRIVE,285,ENFIELD,PL,,Unit,R104,MISSISSAUGA,ON,L5B 3Y6,363
Restaurant,CAFE DIEM THUONG,157,DUNDAS,ST,E,Unit,3B,MISSISSAUGA,ON,L5A 1W8,364
Restaurant,CAFE GREAT,5225,ORBITOR,DR,,Unit,16,MISSISSAUGA,ON,L4W4Y8,365
Restaurant,CAFE PLUS BAKERY,3476,GLEN ERIN,DR,,UNIT,13B,MISSISSAUGA,ON,L5L 3R4,366
Restaurant,CAFE PREGO,3115,DUNDAS,ST,W,,,MISSISSAUGA,ON,L5L3R8,367
Restaurant,CAFFE DEMETRE MISSISSAUGA,90,COURTNEYPARK,DR,E,Unit,N5,MISSISSAUGA,ON,L5T 2Y3,368
Restaurant,CAFFE TIVOLI / ELECTROLUX BLDG,5855,TERRY FOX,WAY,,,,MISSISSAUGA,ON,L5V 3E4,369
Restaurant,CAKE ROYALE,168,QUEEN,ST,S,Unit,102,MISSISSAUGA,ON,L5M 1K8,370
Restaurant,CALABASH CARIBBEAN CUISINE,2155,LEANNE,BLVD,,Unit,108,MISSISSAUGA,ON,L5K 2K8,371
Restaurant,CALDENSE BAKERY & PASTRIES VII INC,5425,CREDITVIEW,RD,,Unit,14,MISSISSAUGA,ON,L5V 2P3,372
Restaurant,CALIFORNIA SANDWICHES,3018,WINSTON CHURCHILL,BLVD,,Unit,1,MISSISSAUGA,ON,L5L 2V7,373
Restaurant,CALIFORNIA SANDWICHES,5950,DIXIE,RD,,,,MISSISSAUGA,ON,L4W 1E9,374
Restaurant,CALIFORNIA SANDWICHES,5955,LATIMER,DR,,Unit,1A,Mississauga,ON,L5L 0B7,375
Restaurant,CALIFORNIA STEVEN SPORTS BAR & KARAOKE LTD,680,SILVER CREEK,BLVD,,Unit,14,MISSISSAUGA,ON,L5A 3Z1,376
Restaurant,CANYON CREEK CHOP HOUSE,299,RATHBURN,RD,W,,,MISSISSAUGA,ON,L5B4C1,377
Restaurant,CAPRAS KITCHEN,1834,LAKESHORE,RD,W,Unit,A-1A,MISSISSAUGA,ON,L5J 1J7,378
Restaurant,CAPTAINS SNOOKER CLUB,966,DUNDAS,ST,E,Unit,"10, 11",MISSISSAUGA,ON,L4Y4H5,379
Restaurant,CAPTIN ROBINS FAMILY RESTAURANT,111,LAKESHORE,RD,W,,,MISSISSAUGA,ON,L5H1E9,380
Restaurant,CARIBBEAN DESIRE,6435,DIXIE,RD,,Unit,1,MISSISSAUGA,ON,L5T 1X4,381
Restaurant,CARIBBEAN OASIS,7125,GOREWAY,DR,,Unit,105,MISSISSAUGA,ON,,382
Restaurant,CARIBBEAN STAR,3417,DERRY,RD,E,Unit,4,MISSISSAUGA,ON,L4T1A8,383
Restaurant,CARIBBEAN SUNSET RESTAURANT - BAR AND LOUNGE INC,1001,MEYERSIDE,DR,,Unit,"8, 9",MISSISSAUGA,ON,L5T1J6,384
Restaurant,CARINDERIA BY DFLORES,980,EGLINTON,AVE,E,Unit,2,MISSISSAUGA,ON,,385
Restaurant,CASALINGA RISTORANTE,2057,ROYAL WINDSOR,DR,,Unit,2,MISSISSAUGA,ON,L5J1K5,386
Restaurant,CATERINAS PALACE & RESTAURANT,7230,TRANMERE,DR,,,,MISSISSAUGA,ON,L5S1L6,387
Restaurant,CAVENS ALLEY BAR,585,LAKESHORE,RD,E,Unit,D,MISSISSAUGA,ON,L5G 1H9,388
Restaurant,CHAMPIONS AT ROYAL SQUARE,1248,DUNDAS,ST,E,Unit,4,MISSISSAUGA,ON,L4Y 2C1,389
Restaurant,CHANG & HUANG THAI RESTAURANT,5120,DIXIE,RD,,Unit,7,MISSISSAUGA,ON,L4W4J7,390
Restaurant,CHARLEYS GRILLED SUBS,100,CITY CENTRE,DR,,Unit,1-131B,MISSISSAUGA,ON,L5B2C9,391
Restaurant,CHARLIES CARIBBEAN CUISINE,3055,HURONTARIO,ST,,,,MISSISSAUGA,ON,L5A2G9,392
Restaurant,CHAT - HUT,7106,AIRPORT,RD,,Unit,1 & 2,MISSISSAUGA,ON,L4T2G8,393
Restaurant,CHATIME,720,BURNHAMTHORPE,RD,W,Unit,31,MISSISSAUGA,ON,L5C 3G1,394
Restaurant,CHATKHARA SPICY FLAVOURS OF PAKISTAN,816,BRITANNIA,RD,W,Unit,101,MISSISSAUGA,ON,L5V 0A6,395
Restaurant,CHEFS CATERING,2285,SPEAKMAN,DR,,,,MISSISSAUGA,ON,,396
Restaurant,CHEFS CATERING,2599,SPEAKMAN,DR,,,,MISSISSAUGA,ON,L5K1B1,397
Restaurant,CHEFS TABLE,5310,EXPLORER,DR,,,,MISSISSAUGA,ON,L4W4H6,398
Restaurant,CHEFS TABLE,5800,EXPLORER,DR,,Unit,102,MISSISSAUGA,ON,L4W 5K9,399
Restaurant,CHELSEA B,7,JOHN,ST,S,,,MISSISSAUGA,ON,L5H2E3,400
Restaurant,CHICKEN N TINGS CARIBBEAN CUISINE INC,4025,BRANDON GATE,DR,,Unit,A & B,MISSISSAUGA,ON,L4T3Z9,401
Restaurant,CHILLI CHICKEN HOUSE INC,4040,CREDITVIEW,RD,,Unit,25,MISSISSAUGA,ON,L5C4E3,402
Restaurant,CHINA CHINA PALACE 2,1125,BLOOR,ST,,Unit,8A,MISSISSAUGA,ON,L4Y 2N6,403
Restaurant,CHINA GARDEN RESTAURANT,7071,AIRPORT,RD,,Unit,1,MISSISSAUGA,ON,L4T4J3,404
Restaurant,CHINA PALACE,80,COURTNEYPARK,DR,E,UNIT,K4,MISSISSAUGA,ON,L5T 2Y3,405
Restaurant,CHINA PALACE RESTAURANT,3530,DERRY,RD,E,,,MISSISSAUGA,ON,L4T 4E3,406
Restaurant,CHINA8 RESTAURANT,5602,TENTH,LINE,W,Unit,110,MISSISSAUGA,ON,L5M 5S5,407
Restaurant,CHINESE DUMPLING HOUSE,4040,CREDITVIEW,RD,,Unit,9-10,MISSISSAUGA,ON,L5C 3Y8,408
Restaurant,CHINESE WOK,3050,ARTESIAN,DR,,Unit,9,MISSISSAUGA,ON,L5M 7P5,409
Restaurant,CHIUCHOW MAN CHINESE RESTAURANT,1177,CENTRAL PKY,,W,Unit,69,MISSISSAUGA,ON,L5C4P3,410
Restaurant,CHOP STEAKHOUSE & BAR,2001,ARGENTIA,RD,,,,MISSISSAUGA,ON,L5N 2L3,411
Restaurant,CHOPAN GRILL,2155,LEANNE,BLVD,,Unit,107,MISSISSAUGA,ON,L5K 2K8,412
Restaurant,CHOPSTICK CUISINE,2875,DERRY,RD,E,,,MISSISSAUGA,ON,L4T1A6,413
Restaurant,CHUCK E CHEESES,2945,ARGENTIA,RD,,Bldg,E,MISSISSAUGA,ON,,414
Restaurant,CHUCK E CHEESES,4141,DIXIE,RD,,,,MISSISSAUGA,ON,L4W1V5,415
Restaurant,CITIES SPORTS BAR & GRILL,5835,DIXIE,RD,,Unit,1,MISSISSAUGA,ON,L4W4V7,416
Restaurant,CJ/TIM HORTONS #27025- U OF T/ERINDALE,3359,MISSISSAUGA,RD,,,,MISSISSAUGA,ON,L5L1C6,417
Restaurant,CLARKSON BISTRO,1731,LAKESHORE,RD,W,,,MISSISSAUGA,ON,L5J1J4,418
