BUSINESSTYPE,BUSINESSNAME,STREETNUMBER,STREET,STREETTYPE,STREETDIR,UNITTYPE,UNITY,CITY,PROV,POSTAL,OBJECTID
Lunch Counter,BASKIN ROBBINS,6040,GLEN ERIN,DR,,,3,MISSISSAUGA,ON,L5N3M4,48
Lunch Counter,BASKIN-ROBBINS ICE CREAM,4099,ERIN MILLS,PKWY,,Unit,3,MISSISSAUGA,ON,L5L 3P9,49
Lunch Counter,BIG SLICK BAR AND LOUNGE,1965,BRITANNIA,RD,W,Unit,B2-B3,MISSISSAUGA,ON,L5M4Y4,50
Lunch Counter,BO BO CHI,1400,AIMCO,BLVD,,Unit,H435,MISSISSAUGA,ON,L4W1E1,51
Lunch Counter,BOLLYWOOD UNLIMITED,512,BRISTOL,RD,W,UNIT,2,MISSISSAUGA,ON,,52
Lunch Counter,BURNHAMTHORPE FRUIT MARKET,3647,DIXIE,RD,,,,MISSISSAUGA,ON,L4Y2B3,53
Lunch Counter,CARIBBEAN SENSATION,1400,AIMCO,BLVD,,UNIT,Z436,MISSISSAUGA,ON,L5W 1E1,54
Lunch Counter,CAROUSEL FOODS,4141,DIXIE,RD,,Unit,46,MISSISSAUGA,ON,L4W1V5,55
Lunch Counter,CENTRAL BILLIARDS AND COFFEE SHOP,128,QUEEN,ST,S,UNIT,2 BASEMENT,MISSISSAUGA,ON,L5M 1K8,56
Lunch Counter,CENTRE BOWL,4300,CAWTHRA,RD,,,,MISSISSAUGA,ON,L4Z 1V8,57
Lunch Counter,CHIBUGAN EH!,1400,AIMCO,BLVD,,UNIT,H427,MISSISSAUGA,ON,,58
Lunch Counter,CHIPOTLE MEXICAN GRILL,100,CITY CENTRE,DR,,Unit,FCU-3,MISSISSAUGA,ON,L5B 2C9,59
Lunch Counter,CHUTNEY SWAMY INC,2911,EGLINTON,AVE,W,Unit,2,MISSISSAUGA,ON,L5M 6J3,60
Lunch Counter,CINEPLEX CINEMAS MISSISSAUGA,309,RATHBURN,RD,W,,,MISSISSAUGA,ON,L5B4C1,61
Lunch Counter,CINEPLEX ODEON COURTNEY PARK,110,COURTNEYPARK,DR,E,,,MISSISSAUGA,ON,L5T 2Y3,62
Lunch Counter,CINNABON WORLD FAMOUS CINNAMON ROLLS,100,CITY CENTRE,DR,,Unit,1-143B,MISSISSAUGA,ON,L5B 2C9,63
Lunch Counter,CINNABON WORLD FAMOUS CINNAMON ROLLS,1250,SOUTH SERVICE,RD,,Unit,143,MISSISSAUGA,ON,L5E 1V4,64
Lunch Counter,CLASSIC BOWL,3055,DUNDAS,ST,W,Unit,20,MISSISSAUGA,ON,L5L 3R8,65
Lunch Counter,CLOCK CAFFE,910,MIDWAY,BLVD,,,,MISSISSAUGA,ON,L5T 1T9,66
Lunch Counter,COMPASS / ROGERS #20186,59,AMBASSADOR,DR,,,,MISSISSAUGA,ON,L5T 2P9,67
Lunch Counter,COMPASS / SAMSUNG #23103,2050,DERRY,RD,W,,,MISSISSAUGA,ON,L5N 0B9,68
Lunch Counter,COOL CAKES AND PASTRIES,4,MISSISSAUGA,RD,N,UNIT,1,MISSISSAUGA,ON,L5H 2H4,69
Lunch Counter,COSENZA SOCIAL CLUB,720,BURNHAMTHORPE,RD,W,Unit,21A,MISSISSAUGA,ON,L5C3G1,70
Lunch Counter,COSTCO CENTRAL MISSISSAUGA #1169,1570,DUNDAS,ST,E,,,MISSISSAUGA,ON,L4X 1L4,71
Lunch Counter,COSTCO-MISSISSAUGA #531,3180,LAIRD,RD,,,,MISSISSAUGA,ON,L5L 6A5,72
Lunch Counter,COUSINS FOODS,1215,HURONTARIO,ST,,,,MISSISSAUGA,ON,L5G3H2,73
