COMPLEX ID,Character Area,Z-Area,Street Number,Street Name,Designation,Zoning,Complex Name,Site Area (ha),Site Area (acre),Total Parking,GFA Residential (m2),GFA Residential (ft2),GFA Retail (m2),GFA Retail (ft2),GFA Total (m2),GFA Total (ft2),Building Type,Tenure Residential,Townhouse Blocks,Storeys Total,Number Of Residential Units,Number Of Retail Units,Density (Unit/Ha),Density (Unit/Acre),FSI,OBJECTID
39,Meadowvale NHD,46W,6779,Glen Erin Dr,Medium Density,RM4,,1.93,4.769134,140,7469,80395.646850,0,0,7469,80395.646850,Townhouse,PCC,9,2,64,0,33,13,0.386995,21
40,Meadowvale NHD,46W,26702700,Battleford Rd,Medium Density,RM4,Battleford Townhouses ,2.64,6.523582,204,10593,114022.103000,0,0,10593,114022.103000,Townhouse,PCC,12,2,90,0,34,14,0.401250,22
41,Meadowvale NHD,46W,6449,Glen Erin Dr,Medium Density,RM4,,1.34,3.311212,129,6455,69481.041700,0,0,6455,69481.041700,Townhouse,PCC,8,3,57,0,43,17,0.481716,23
42,Meadowvale NHD,46W,6240,Montevideo Rd,Medium Density,RM4,,1.54,3.805423,117,7364,79265.436260,0,0,7364,79265.436260,Townhouse,PCC,4,3,52,0,34,14,0.478182,24
43,Meadowvale NHD,46W,6100,Montevideo Rd,Medium Density,RM4,,2.14,5.288055,169,9757,105023.473900,0,0,9757,105023.473900,Townhouse,PCC,9,3,75,0,35,14,0.455935,25
44,Meadowvale NHD,46W,6040,Montevideo Rd,Medium Density,RM4,,2.34,5.782266,180,,,0,0,,,Townhouse,PCC,9,3,81,0,35,14,,26
46,Meadowvale NHD,46W,2617,Windwood Dr,Medium Density,RM4,,1.03,2.545185,77,3789,40784.456540,0,0,3789,40784.456540,Townhouse,PCC,4,2,34,0,33,13,0.367864,27
48,Meadowvale NHD,46W,2755,Windwood Dr,Medium Density,RM4,,1.94,4.793844,153,7547,81235.231860,0,0,7547,81235.231860,Townhouse,PCC,3,3,68,0,35,14,0.389021,28
49,Meadowvale NHD,46W,2881,Windwood Dr,Medium Density,RM4,,2.53,6.251766,194,10246,110287.026100,0,0,10246,110287.026100,Townhouse,PCC,8,2,86,0,34,14,0.404980,29
50,Meadowvale NHD,46W,6152-6205,Townwood Crt,Medium Density,RM5,Townwood Court,1.34,3.311212,96,,,0,0,,,Townhouse,Freehold,6,2,48,0,36,14,,30
51,Meadowvale NHD,46W,5730,Montevideo Rd,Medium Density,RM4,,1.64,4.052528,129,7159,77058.834630,0,0,7159,77058.834630,Townhouse,PCC,9,2,57,0,35,14,0.436524,31
52,Meadowvale NHD,46W,5878,Montevideo Rd,Medium Density,RM4,,1.74,4.299634,146,6876,74012.647980,0,0,6876,74012.647980,Townhouse,PCC,11,3,60,0,34,14,0.395172,32
53,Meadowvale NHD,46W,5610,Montevideo Rd,Medium Density,RM4,,2.34,5.782266,180,9104,97994.640370,0,0,9104,97994.640370,Townhouse,PCC,10,2,80,0,34,14,0.389060,33
54,Meadowvale NHD,46W,5536,Montevideo Rd,Medium Density,RM4,,1.94,4.793844,151,8639,92989.422030,0,0,8639,92989.422030,Townhouse,PCC,7,2,67,0,35,14,0.445309,34
55,Meadowvale NHD,46W,6520,Corfu Rd,Medium Density,RM4,The Winston Churchill Townhomes,2,4.942108,165,9944,107036.325100,0,0,9944,107036.325100,Townhouse,PCC,8,2,73,0,36,15,0.497200,35
56,Meadowvale NHD,46W,2651,Aquitaine Ave,Medium Density,RM4,Meadow Lanes,2.53,6.251766,86,12511,134667.283100,0,0,12511,134667.283100,Townhouse,PCC,5,3,86,0,34,14,0.494506,36
57,Meadowvale NHD,46W,6679,Shelter Bay Rd,Medium Density,RM4,,2.25,5.559871,176,10511,113139.462300,0,0,10511,113139.462300,Townhouse,PCC,3,2,78,0,35,14,0.467156,37
58,Meadowvale NHD,46W,2701,Aquitaine Ave,Medium Density,RM4,,2.8,6.918951,138,11395,122654.759100,0,0,11395,122654.759100,Townhouse,PCC,11,2,97,0,35,14,0.406964,38
59,Meadowvale NHD,46W,1-29,Bent Oak Cir,Low Density II,R3-8,,1.49,3.68187,58,,,0,0,,,Detached,PCC,,2,29,0,19,8,,39
61,Meadowvale NHD,46W,"5525-5555/6520,6530",Montevideo Rd/Glen Erin Dr,Medium Density,RM4,Bristol Court Townhouses,1.3,3.21237,100,4680,50375.100720,0,0,4680,50375.100720,Townhouse,CDM,6,2,43,0,33,13,0.360000,40
62,Meadowvale NHD,46W,631063306350,Montevideo Rd,Medium Density,RM4,Waterford Townhouses,1.22,3.014686,79,,,0,0,,,Townhouse,RNTL,5,2,34,0,28,11,,41
64,Meadowvale NHD,46W,6680,Shelter Bay Rd,Medium Density,RM4,The Meadows Cooperative Homes ,1.11,2.74287,131,6532,70309.862800,0,0,6532,70309.862800,Townhouse,COOP-FED,3,3,61,0,55,22,0.588468,42
