lat,lon
43.5574672,-79.6561449
43.5555656,-79.6476874
43.5662613,-79.6417723
43.5642629,-79.6387
43.563372,-79.637579
43.5612064,-79.6399878
43.5588508,-79.6611903
43.5581612,-79.6592916
43.5914955,-79.770053
43.5957076,-79.7678098
43.5959533,-79.7647116
43.5948848,-79.7619193
43.591079,-79.7612055
43.5903336,-79.7620303
43.5909396,-79.7645603
43.5904393,-79.7673512
43.584966,-79.7628108
43.5851107,-79.7626867
43.5882541,-79.7605205
43.5815453,-79.7507881
43.5837853,-79.7467909
43.5827442,-79.7433179
43.5816011,-79.7429914
43.574509,-79.7475723
43.5803784,-79.75173
43.579534,-79.755849
43.58965,-79.757478
43.5878418,-79.7620098
43.5879717,-79.7571431
43.587237,-79.7610324
43.5751423,-79.7508723
43.7191843,-79.6268184
43.7198176,-79.6259082
43.7258207,-79.6384856
43.72464,-79.638419
43.7268772,-79.6485655
43.7229274,-79.6437452
43.7246209,-79.6482722
43.724006,-79.647084
43.7223829,-79.6447569
43.721794,-79.643549
43.6012938,-79.7107913
43.7244875,-79.6457177
43.5940417,-79.6787405
43.6020663,-79.5923108
43.5906071,-79.6788765
43.6193971,-79.6016909
43.608222,-79.589022
43.609359,-79.590866
43.620134,-79.597052
43.623847,-79.584662
43.62149,-79.585018
43.61289,-79.612194
43.623299,-79.59981
43.607765,-79.590455
43.608922,-79.616807
43.5997162,-79.5984049
43.6310165,-79.6265978
43.6085601,-79.5927153
43.5954396,-79.6799509
43.6318704,-79.5887811
43.5836835,-79.6802042
43.603091,-79.720595
43.609667,-79.6222734
43.609308,-79.630807
43.588107,-79.6729622
43.606809,-79.6329949
43.6010582,-79.6334363
43.6007637,-79.633811
43.5997213,-79.6328534
43.599905,-79.6357318
43.6030769,-79.6371037
43.60741,-79.6307543
43.5926151,-79.6736938
43.5987199,-79.6251661
43.5915595,-79.7012156
43.5947354,-79.6048523
43.5916242,-79.6152656
43.5901233,-79.6140411
43.5885706,-79.6240215
43.5862721,-79.6222608
43.591181,-79.624912
43.592615,-79.622242
43.5948319,-79.6199076
43.597323,-79.619071
43.59834,-79.620952
43.600454,-79.6226502
43.607049,-79.61825
43.5785794,-79.6809152
43.6344485,-79.6000953
43.634094,-79.5991525
43.6389399,-79.5953913
43.6425675,-79.5921996
43.5862754,-79.6169689
43.5728438,-79.60157
43.5823616,-79.5878417
43.6114873,-79.6856132
43.6072535,-79.6858683
43.6196625,-79.6503897
43.5880212,-79.6958646
43.5363979,-79.6694973
43.5373776,-79.6704523
43.5380474,-79.6889781
43.5406456,-79.6911176
43.541772,-79.69134
43.5396518,-79.6833726
43.5383797,-79.6819285
43.5401105,-79.6767653
43.5392114,-79.6746092
43.5425129,-79.6754459
43.5426061,-79.6739619
43.5419921,-79.6730569
43.5414847,-79.6621692
43.546535,-79.6994859
43.5381583,-79.6716886
43.5395513,-79.6842758
43.544786,-79.666621
43.5424248,-79.6936855
