lat,lon
43.5978956,-79.756413
43.6455696,-79.6117842
43.6566575,-79.6006707
43.6800634,-79.6653987
43.600973,-79.7377794
43.5998489,-79.7404432
43.5998489,-79.7404432
43.5998489,-79.7404432
43.5998489,-79.7404432
43.5998489,-79.7404432
43.597949,-79.7434269
43.596283,-79.7456213
43.5977013,-79.7456358
43.600906,-79.756107
43.6010872,-79.7581814
43.6016659,-79.7600376
43.6234947,-79.6815756
43.6272111,-79.6748234
43.6280294,-79.6742028
43.622986,-79.601469
43.5916302,-79.6362756
43.490187,-79.750457
43.5856364,-79.6438518
43.5689644,-79.6617992
43.6083749,-79.7297088
43.6147842,-79.6740643
43.6157764,-79.6754354
43.5667106,-79.6564476
43.5674232,-79.662909
43.5667616,-79.6645594
43.5676226,-79.6641267
43.5779732,-79.6214787
43.6717251,-79.5965674
43.631984,-79.660073
43.6316485,-79.6596099
43.6312108,-79.6591145
43.63194,-79.659242
43.6323235,-79.6598992
43.632199,-79.658862
43.5623254,-79.7020286
43.6650256,-79.6861316
43.664998,-79.687275
43.665768,-79.6859843
43.7141173,-79.6299327
43.605909,-79.755678
43.599097,-79.5945854
43.6087333,-79.5838623
43.623867,-79.5693346
43.62329,-79.56965
43.6242267,-79.5687526
43.6237726,-79.5697359
43.5341454,-79.6713662
43.534521,-79.6710597
43.5841831,-79.610882
43.6060407,-79.6528606
43.561273,-79.647667
43.6611237,-79.5964737
43.6634336,-79.6014796
43.6626851,-79.602836
43.6597776,-79.6097119
43.6582659,-79.6118831
43.6587395,-79.612409
43.6577414,-79.6135012
43.654298,-79.6147209
43.7112878,-79.6279164
43.7197352,-79.6409494
43.6584614,-79.726643
43.6584614,-79.726643
43.6584614,-79.726643
43.6584614,-79.726643
43.6154948,-79.6814526
43.6584614,-79.726643
43.5304816,-79.6534737
43.6184574,-79.6745069
43.5995253,-79.7504109
43.6036834,-79.7357222
43.6125624,-79.7538704
43.6410725,-79.6086764
43.6417467,-79.608274
43.6102945,-79.7527328
43.5996052,-79.6419457
43.5232979,-79.6583069
43.5332211,-79.6765636
43.5328733,-79.6761144
43.5338209,-79.6761135
43.5338639,-79.6774949
43.5327735,-79.6750886
43.6545063,-79.6194124
43.6584614,-79.726643
43.5658638,-79.5962059
43.6932985,-79.622665
43.6523599,-79.6148287
43.5174633,-79.6690085
43.6411527,-79.6129241
43.641855,-79.6128011
43.5180456,-79.6574957
43.6250259,-79.6711181
43.6584614,-79.726643
43.6584614,-79.726643
43.5803873,-79.6173737
43.6510345,-79.6199749
43.6451813,-79.6134629
43.583721,-79.61341
43.6498001,-79.7044703
43.5837695,-79.613565
43.6068816,-79.75791
43.6095701,-79.6976479
43.5461374,-79.6520331
43.5460193,-79.6522698
43.6005908,-79.6398997
43.5449013,-79.6556601
43.6584614,-79.726643
43.5643302,-79.6526403
43.6009576,-79.6398141
43.560996,-79.6473738
43.6006247,-79.639891
43.56174,-79.648205
43.6011759,-79.6396228
43.6584614,-79.726643
43.6006944,-79.6399804
43.6584614,-79.726643
43.6609165,-79.6024109
43.5849743,-79.6335369
43.6485341,-79.6228036
43.5810049,-79.6181266
43.6583733,-79.5995393
43.6373408,-79.68799
43.6584614,-79.726643
