lat,lon
43.6014974,-79.6958116
43.6014974,-79.6958116
43.6214378,-79.5986184
43.5887819,-79.6442456
43.5887819,-79.6442456
43.5799047,-79.5764984
43.5697048,-79.5592903
43.5594301,-79.6303844
43.6259136,-79.65407
43.5958534,-79.7417401
43.6259136,-79.65407
43.624803,-79.6256465
43.5879915,-79.5610464
43.5861298,-79.7459461
43.6902918,-79.618276
43.5762994,-79.783616
43.5486498,-79.7506776
43.583713,-79.738936
43.5699763,-79.6612622
43.6341663,-79.6274013
43.6115997,-79.6014269
43.6065758,-79.6049374
43.5391022,-79.6666998
43.6239006,-79.707033
43.5883508,-79.6330164
43.50386,-79.6456491
43.6267959,-79.592299
43.5857246,-79.5719333
43.7242919,-79.6400348
43.5316913,-79.6245936
43.5780737,-79.7620673
43.7143285,-79.6477544
43.56284,-79.5880858
43.5811345,-79.7219341
43.580723,-79.6210839
43.5617592,-79.6477544
43.7325673,-79.6349465
43.6133037,-79.6619199
43.6083401,-79.7566354
43.5748593,-79.739637
43.5511919,-79.6884469
43.5890922,-79.7220218
43.6202502,-79.5986184
43.6288786,-79.717727
43.6252506,-79.6045863
43.5828713,-79.7164999
43.613319,-79.6266994
43.5930784,-79.6424911
43.5533444,-79.715448
43.594779,-79.6481053
43.636624,-79.6902004
43.5930784,-79.6424911
43.5943785,-79.5691239
43.521722,-79.6849396
43.6573018,-79.6793278
43.6410883,-79.6968637
43.6080238,-79.7531309
43.5482673,-79.5904557
43.5777643,-79.6521403
43.6109261,-79.5779031
43.5208504,-79.6884469
43.5599677,-79.5875591
43.5205967,-79.6203819
43.5124491,-79.6484562
43.5930784,-79.6424911
43.586169,-79.6987924
43.5178202,-79.6649457
43.5930784,-79.6424911
43.5994427,-79.7354307
43.5807373,-79.6155558
43.6564621,-79.6505614
43.571797,-79.6051249
43.5827429,-79.6188025
43.559252,-79.6577538
43.7325673,-79.6349465
43.5603651,-79.71089
43.5960067,-79.7533061
43.5623418,-79.5745671
43.5832286,-79.6224878
43.5374471,-79.6877454
43.5912884,-79.5937033
43.613319,-79.6266994
43.6239006,-79.707033
43.6133994,-79.6210839
43.6455569,-79.635122
43.5930784,-79.6424911
43.5943785,-79.5691239
43.5859431,-79.61968
43.6336488,-79.6233652
43.5606551,-79.5756206
43.513324,-79.6433684
43.5930784,-79.6424911
43.5309503,-79.6523157
43.5394953,-79.707033
43.5926186,-79.5742159
43.5655842,-79.7291209
43.6388814,-79.6856411
43.630763,-79.6421402
43.5976109,-79.7809884
43.5833356,-79.759439
43.5873321,-79.7592638
43.5396405,-79.6938828
43.6140601,-79.5780786
43.5824369,-79.6463509
43.5943785,-79.5691239
43.5930784,-79.6424911
43.5813516,-79.7120295
43.6209671,-79.6291561
43.5973134,-79.7398122
43.5719558,-79.6016024
43.6406785,-79.6077457
43.5764622,-79.6216104
43.599299,-79.6602097
43.5312158,-79.6928307
43.5815395,-79.7625929
43.579017,-79.652842
43.6266683,-79.6314372
43.7161148,-79.6445965
43.5452672,-79.5877346
43.5603651,-79.71089
43.5603651,-79.71089
43.636624,-79.6902004
43.5751772,-79.6075702
43.5696565,-79.5668412
43.5721771,-79.6056395
43.6037184,-79.6500351
43.5937183,-79.7641698
43.5829245,-79.7548832
43.5533524,-79.5843113
43.7003716,-79.618276
43.7155973,-79.6275768
43.5669606,-79.5690361
43.5853368,-79.6114314
43.6071729,-79.6171353
43.6093298,-79.739637
43.6297938,-79.68038
43.5079906,-79.6354729
43.5241001,-79.7045784
43.5930784,-79.6424911
43.6508561,-79.6509123
43.7325673,-79.6349465
