BUSINESSTYPE,BUSINESSNAME,STREETNUMBER,STREET,STREETTYPE,STREETDIR,UNITTYPE,UNITY,CITY,PROV,POSTAL,OBJECTID,lon,lat
Restaurant,COMPASS/GTAA # 23075,3111,CONVAIR,DR,,,,MISSISSAUGA,ON,L5P1C2,444,NA,NA
Restaurant,COMPASS/HEWLETT PACKARD #23247,5150,SPECTRUM,WAY,,,,MISSISSAUGA,ON,L4W5G1,445,-79.613011,43.6497668
Restaurant,COMPASS/PRATT & WHITNEY #23817,1801,COURTNEYPARK,DR,E,,,MISSISSAUGA,ON,L5T1J3,446,-79.6544208,43.6731309
Restaurant,COMPASS/RBC MEADOWVALE/TIM HORTONS #23448,6880,FINANCIAL,DR,,,,MISSISSAUGA,ON,L5N 7Y5,447,-79.7462966,43.6084463
Restaurant,CONTINENTAL GRAND BUFFET,4141,DIXIE,RD,,Unit,10-12,MISSISSAUGA,ON,L4W1V5,448,-79.6045863,43.6252506
Restaurant,COOPERS PUB,780,BURNHAMTHORPE,RD,W,Unit,5,MISSISSAUGA,ON,L5C3X3,449,-79.6521403,43.5783587
Restaurant,CORA BREAKFAST & LUNCH,4559,HURONTARIO,ST,,UNIT,9-11,MISSISSAUGA,ON,L4Z 3L9,450,-79.6491579,43.605272
Restaurant,CORAS BREAKFAST & LUNCH,4120,DIXIE,RD,,Unit,15-16,MISSISSAUGA,ON,L4W 4V8,451,-79.6063415,43.6245207
Restaurant,CORAS BREAKFAST AND LUNCH,6720,MEADOWVALE TOWN CENTRE,CIR,,Unit,D3,MISSISSAUGA,ON,L5N 4B7,452,-79.7606655,43.5827032
Restaurant,COSTCO NORTH MISSISSSAUGA,5900,RODEO,DR,,,,MISSISSAUGA,ON,L5R3S9,453,-79.6905512,43.6120102
Restaurant,COUNTRY FISH & CHIPS,293,LAKESHORE,RD,E,,,MISSISSAUGA,ON,L5G1H3,454,-79.5756206,43.5606551
Restaurant,COUNTRY KITCHEN ROADHOUSE RESTAURANT,1520,TRINITY,DR,,Unit,1,MISSISSAUGA,ON,L5T 1N9,455,-79.650386,43.6583747
Restaurant,COUNTRY STYLE DONUTS,362,LAKESHORE,RD,E,,,MISSISSAUGA,ON,L5G 1H5,456,-79.5717578,43.5635698
Restaurant,COUNTRY STYLE DONUTS,6035,MCLAUGHLIN,RD,,,100,MISSISSAUGA,ON,L5R1B9,457,-79.6905512,43.6179501
Restaurant,COUNTRY STYLE DONUTS,6585,AIRPORT,RD,,Unit,B,MISSISSAUGA,ON,L4V1E4,458,-79.6252956,43.6921199
Restaurant,COUNTRY STYLE DONUTS/A&W,1465,AEROWOOD,DR,,,,MISSISSAUGA,ON,L4W 2L2,459,-79.6330164,43.6429903
Restaurant,COUNTRY STYLE MR SUB & TCBY,334,DUNDAS,ST,E,,,MISSISSAUGA,ON,L5A1W9,460,-79.6093253,43.5860353
Restaurant,COZY CAFE & DELI,101,QUEENSWAY,,W,,,MISSISSAUGA,ON,L5B2P7,461,-79.6107294,43.5721974
Restaurant,CREDIT VALLEY GOLF & COUNTRY CLUB,2500,OLD CARRIAGE,RD,,,,MISSISSAUGA,ON,L5C1Y7,462,-79.6447719,43.5545004
Restaurant,CROATIA RESTAURANT,1989A,DUNDAS,ST,E,,,MISSISSAUGA,ON,L4X 1M1,463,-79.5724601,43.6209665
Restaurant,CUCHULAINNS IRISH PUB,158,QUEEN,ST,S,,,MISSISSAUGA,ON,L5M 1K8,464,-79.7164999,43.5828713
Restaurant,CUDAS TAP AND GRILL,1107,LORNE PARK,RD,,UNIT,2,MISSISSAUGA,ON,L5H 3A1,465,-79.6128355,43.5319542
Restaurant,CULINARIA RESTAURANT,5732,KENNEDY,RD,,,,MISSISSAUGA,ON,L4Z1T1,466,-79.6610867,43.6295221
Restaurant,CULTURES,100,CITY CENTRE,DR,,Unit,1-826,MISSISSAUGA,ON,L5B 2C9,467,-79.6424911,43.5930784
Restaurant,CURRY AND NOODLE RESTAURANT,1177,CENTRAL PKY,,W,Unit,66,MISSISSAUGA,ON,L5C4P3,468,-79.6603851,43.567667
Restaurant,DAI ICHI JAPANESE RESTAURANT,3105,WINSTON CHURCHILL,BLVD,,Unit,67,MISSISSAUGA,ON,L5L 2W1,469,-79.6849396,43.5258875
Restaurant,DAIRY QUEEN BRAZIER,325,CENTRAL PKY,,W,Unit,54,MISSISSAUGA,ON,L5B3X9,470,-79.6379294,43.5834511
Restaurant,DANA HOSPITALITY / ALCON CANADA,2665,MEADOWPINE,BLVD,,,,MISSISSAUGA,ON,L5N 8C7,471,-79.7883455,43.6027301
Restaurant,DANA HOSPITALITY / CENTRE FOR HEALTH/SAFETY INNOVATION,5110,CREEKBANK,RD,,Suite,300,MISSISSAUGA,ON,L4W 0A1,472,-79.616872,43.6427012
Restaurant,DANA HOSPITALITY / MARITZ CANADA,6900,MARITZ,DR,,,,MISSISSAUGA,ON,L5W 1L8,473,-79.707033,43.6405269
Restaurant,DANA HOSPITALITY/HONEY WELL #4200,3333,UNITY,DR,,,,MISSISSAUGA,ON,L5L3T3,474,NA,NA
Restaurant,DANA HOSPITALITY/NISSAN CANADA,5290,ORBITOR,DR,,,,MISSISSAUGA,ON,L4W4Z5,475,-79.6077457,43.6602626
Restaurant,DANA HOSPITALITY/WALMART BLDG,1940,ARGENTIA,RD,,,,MISSISSAUGA,ON,L5N1P9,476,-79.7375339,43.6014156
Restaurant,DAVES CHICKEN & SEAFOOD,1151,DUNDAS,ST,W,Unit,28,MISSISSAUGA,ON,L5C 1C6,477,-79.6449474,43.5567463
Restaurant,DAYLIGHT GRILL,980,SOUTHDOWN,RD,,Unit,E-8,MISSISSAUGA,ON,L5J 2Y4,478,-79.6263484,43.5041809
Restaurant,DELIMARK CAFE,6299,AIRPORT,RD,,UNIT,B100,MISSISSAUGA,ON,L4V 1N3,479,-79.6231897,43.6907413
Restaurant,DELTA BINGO,1650,DUNDAS,ST,E,Unit,17-21,MISSISSAUGA,ON,L4X 2Z3,480,-79.5768496,43.6140956
Restaurant,DENNYS FAMILY RESTAURANT,40,COURTNEYPARK,DR,E,,,MISSISSAUGA,ON,L5T 2Y3,481,-79.6902004,43.636624
Restaurant,DENNYS RESTAURANT,5400,DIXIE,RD,,,,MISSISSAUGA,ON,L4W4T4,482,-79.6316127,43.6422684
Restaurant,DER BROTKORB BAKERY & CAFE,2458,DUNDAS,ST,W,Unit,10,MISSISSAUGA,ON,L5K 1R8,483,-79.6758202,43.5268434
Restaurant,DERI ITALIAN BAKERY,656,BLOOR,ST,,,,MISSISSAUGA,ON,L5A3V9,484,-79.6114314,43.5992996
Restaurant,DERRYDALE GOLF COURSE,185,DERRY,RD,W,,,MISSISSAUGA,ON,L5M2B5,485,NA,NA
Restaurant,DESI BAR & GRIL,925,RATHBURN,RD,E,Unit,B3,MISSISSAUGA,ON,L4W 4C3,486,-79.6173985,43.6158833
Restaurant,DIAMONDS CABARET,1820,DUNDAS,ST,E,,,MISSISSAUGA,ON,L4X1L8,487,-79.573338,43.6179298
Restaurant,DIANA PASTICCERIA & COFFEE INC.,4910,TOMKEN,RD,,Unit,1,MISSISSAUGA,ON,L4W 1J8,488,-79.6291561,43.6209671
Restaurant,DIVINE FOODS,17,QUEEN,ST,N,Unit,A-3,MISSISSAUGA,ON,L5N 6A1,489,-79.7228982,43.589023
Restaurant,DOABA SWEETS & RESTAURANT,5390,TERRY FOX,WAY,,Unit,2,MISSISSAUGA,ON,L5V 0A5,490,-79.6847643,43.5947005
Restaurant,DOOLINS PUB,1575,CLARKSON,RD,,Unit,8,MISSISSAUGA,ON,L5J 2X1,491,-79.6391576,43.5290061
Restaurant,DOOR FIFTYFIVE,55,LAKESHORE,RD,E,,,MISSISSAUGA,ON,L5G1C9,492,-79.584399,43.5522456
Restaurant,DOSA PALACE,21,DUNDAS,ST,E,Unit,2,MISSISSAUGA,ON,L5A1V9,493,-79.6156435,43.5815625
Restaurant,DOUBLE DOUBLE PIZZA & CHICKEN,3095,HURONTARIO,ST,,Unit,55,MISSISSAUGA,ON,L5A4G3,494,NA,NA
Restaurant,DRAGON PALACE CHINESE RESTAURANT,1850,DUNDAS,ST,E,,,MISSISSAUGA,ON,L4X1L9,495,-79.6916033,43.5095311
Restaurant,DRAGON STAR WOK,2225,ERIN MILLS,PKWY,,Unit,101B,MISSISSAUGA,ON,L5K1T9,496,-79.6523157,43.5309503
Restaurant,DRUXYS FAMOUS DELI,5580,EXPLORER,DR,,Unit,102,MISSISSAUGA,ON,L4W4Y1,497,-79.6105539,43.6581464
Restaurant,DRUXYS FAMOUS DELI #66,350,BURNHAMTHORPE,RD,W,Unit,120,MISSISSAUGA,ON,L5B3J1,498,-79.6435438,43.5857465
Restaurant,DUNDAS DIXIE DAIRY QUEEN,1248,DUNDAS,ST,E,Unit,5,MISSISSAUGA,ON,L4Y 2C7,499,-79.5859791,43.6084011
Restaurant,DYNASTY B.B.Q. RESTAURANT,1550,SOUTH GATEWAY,RD,,Unit,106,MISSISSAUGA,ON,L4W 5G6,500,-79.61266,43.6328177
Restaurant,EARLS RESTAURANT,100,CITY CENTRE,DR,,Unit,1-101,MISSISSAUGA,ON,L5B 2C9,501,-79.6424911,43.5930784
Restaurant,EAST SIDE MARIOS,1488,DUNDAS,ST,E,UNIT,D2,MISSISSAUGA,ON,L4X 1L4,502,-79.5779031,43.6109261
Restaurant,EAST SIDE MARIOS,3075,ARGENTIA,RD,,,,MISSISSAUGA,ON,L5N 8P7,503,-79.7928996,43.5968997
Restaurant,EAST SIDE MARIOS,5855,RODEO,DR,,,,MISSISSAUGA,ON,L4V1E3,504,-79.618978,43.68917
Restaurant,EAT MORE RESTAURANT & CAFE,5130,DIXIE,RD,,UNIT,13 & 14,MISSISSAUGA,ON,L4W 4K2,505,-79.6238039,43.6365831
Restaurant,EDDIES WOK N ROLL,6400,MILLCREEK,DR,,UNIT,6,MISSISSAUGA,ON,L5N 7L4,506,-79.7459461,43.6152466
Restaurant,EGGSMART,1930,FOWLER,DR,,Bldg,C-100,MISSISSAUGA,ON,,507,NA,NA
Restaurant,EGGSMART,5170,DIXIE,RD,,Unit,103,MISSISSAUGA,ON,L4W1E3,508,-79.6259975,43.6387872
Restaurant,EGGSMART,655,QUEENSWAY,,E,,,MISSISSAUGA,ON,L5A3X6,509,-79.5944055,43.5877877
Restaurant,EL FISHAWY CLUB,5055,PLANTATION ,PL,,Unit,4,MISSISSAUGA,ON,L5M 6J3,510,-79.715448,43.5533444
Restaurant,EL SOMBRERO FINE MEXICAN FOOD,4870,TOMKEN,RD,,Unit,D1,MISSISSAUGA,ON,L4W 1J8,511,-79.6291561,43.6209671
Restaurant,EL SOMBRERO FOOD CO INC,6990,FINANCIAL,DR,,Unit,6G-A,MISSISSAUGA,ON,,512,NA,NA
Restaurant,EL SOMBRERO FOOD CO INC,6990,FINANCIAL,DR,,Unit,6G-A,MISSISSAUGA,ON,L5N 8J4,513,-79.7494509,43.6102165
Restaurant,EL SOMBRERO FOOD COMPANY,35,BRUNEL,RD,,Unit,1A,MISSISSAUGA,ON,L4Z3E8,514,-79.6765217,43.6261769
Restaurant,ELITE ROYALE RESTAURANT & BANQUET HALL,2120,DUNDAS,ST,E,,,MISSISSAUGA,ON,L4X1L9,515,-79.6916033,43.5095311
Restaurant,ELLENS PLACE,1090,KAMATO,RD,,Unit,17-19,MISSISSAUGA,ON,L4W2P3,516,-79.6426666,43.6389743
Restaurant,EMERALD CHINESE RESTAURANT,30,EGLINTON,AVE,W,Unit,1,MISSISSAUGA,ON,L5R 3E7,517,-79.6526666,43.605592
Restaurant,EMPIRE WOK,970,SOUTHDOWN,RD,,Unit,D4,MISSISSAUGA,ON,L5J 2Y4,518,-79.6263484,43.5041809
Restaurant,ENGLISH BAY FISH & CHIPS,1224,DUNDAS,ST,W,Unit,112,MISSISSAUGA,ON,L5C 4G7,519,-79.6458246,43.5540018
Restaurant,ERINDALE FAMILY RESTAURANT,1100,DUNDAS,ST,W,Unit,9,MISSISSAUGA,ON,L5C4E7,520,-79.6430175,43.5567188
Restaurant,EURO CAFE,3,LESTER B PEARSON INTL AIRPORT,,,,,MISSISSAUGA,ON,L5P 1C4,521,-79.6628408,43.6691521
Restaurant,EVER FRESH TEA HOUSE,80,PORT,ST,E,Unit,C,MISSISSAUGA,ON,L5G 4V6,522,-79.5813267,43.5545649
Restaurant,EXPRESS AULAIT CAFETERIA,170,QUEENSWAY,,W,,,MISSISSAUGA,ON,L5B3A8,523,-79.6110804,43.5704463
Restaurant,EXTREME PITA,3021,ARGENTIA,RD,,Unit,P5,MISSISSAUGA,ON,L5N 8P7,524,-79.7928996,43.5968997
Restaurant,EXTREME PITA #23286 - BELL MOBILITY,5025,CREEKBANK,RD,,UNIT,1B12-,MISSISSAUGA,ON,,525,NA,NA
Restaurant,FAILTE IRISH PUB,201,CITY CENTRE,DR,,,109,MISSISSAUGA,ON,L5B2T4,526,-79.6414384,43.5891199
Restaurant,FAMOUS SUSHI (YZ),1177,CENTRAL,PKWY,W,Unit,1-3,Mississauga,ON,L5C4P3,527,-79.6603851,43.567667
Restaurant,FEDERICK CHINESE RESTAURANT,2515,HURONTARIO,ST,,Unit,112,MISSISSAUGA,ON,L5A 4C8,528,-79.6139763,43.5794041
Restaurant,FIONN MAC COOLS,970,SOUTHDOWN,RD,,Unit,D6,MISSISSAUGA,ON,L5J 2X4,529,-79.6181005,43.5116105
Restaurant,FIONN MACCOOLS,825,BRITANNIA,RD,W,Bldg,E,MISSISSAUGA,ON,,530,NA,NA
Restaurant,FIRE PIT,6020,HURONTARIO,ST,,Unit,3,MISSISSAUGA,ON,L5R 4B3,531,-79.681783,43.6263585
Restaurant,FISHERMANS PLAICE,3105,UNITY,DR,,Unit,32,MISSISSAUGA,ON,L5L 4L3,532,-79.7079096,43.5385336
Restaurant,FIT FOR LIFE,5100,ERIN MILLS,PKWY,,Unit,F008,MISSISSAUGA,ON,L5M4Z5,533,-79.71089,43.5603651
Restaurant,FIVE GUYS BURGER & FRIES,1510,DUNDAS,ST,E,Unit,11,MISSISSAUGA,ON,L4X 1L4,534,-79.5779031,43.6109261
Restaurant,FIVE GUYS BURGERS AND FRIES,2116,BURNHAMTHORPE,RD,W,Unit,N2,MISSISSAUGA,ON,L5L 5Z5,535,-79.6828352,43.5447341
Restaurant,FIVE GUYS BURGERS AND FRIES,6045,MAVIS,RD,,UNIT,3,MISSISSAUGA,ON,L5R 4G6,536,-79.6958116,43.614567
Restaurant,FOCACIAS ITALIAN FAST CASUAL,6990,FINANCIAL,DR,,Unit,1G-2,MISSISSAUGA,ON,L5N 8J4,537,-79.7494509,43.6102165
Restaurant,FONKOOSH,11,PEARL,ST,,,,MISSISSAUGA,ON,L5M1X1,538,-79.7135197,43.5803722
Restaurant,FORK MY LIFE,152,LAKESHORE,RD,E,,,MISSISSAUGA,ON,L5G1E9,539,-79.5812389,43.5561176
Restaurant,FORTUNE DRAGON CHINESE RESTAURANT INC.,6085,CREDITVIEW,RD,,Unit,2D,MISSISSAUGA,ON,L5V 2A8,540,-79.713169,43.5990613
Restaurant,FREDS BAR & GRILL,636,BLOOR,ST,,,,MISSISSAUGA,ON,L5A3V9,541,-79.6114314,43.5992996
Restaurant,FRESHII,5083,DIXIE,RD,,Unit,D4,MISSISSAUGA,ON,,542,NA,NA
Restaurant,FRESHII,5100,ERIN MILLS,PKWY,,Unit,B 239,MISSISSAUGA,ON,L5M4Z5,543,-79.71089,43.5603651
Restaurant,FRESHII #7101146,3,LESTER B PEARSON INTL AIRPORT,,,,,MISSISSAUGA,ON,L5P 1C4,544,-79.6628408,43.6691521
Restaurant,FRESHII/CORK & WELL,3,LESTER B PEARSON INTL AIRPORT,,,,,MISSISSAUGA,ON,L5P 1C4,545,-79.6628408,43.6691521
Restaurant,FRIENDS FISH AND CHIPS,398,LAKESHORE,RD,E,,,MISSISSAUGA,ON,L5G1H5,546,-79.5717578,43.5635698
Restaurant,FUME BAR & LOUNGE,7195,TORBRAM,RD,,UNIT,4A,MISSISSAUGA,ON,L4T 4G3,547,-79.6577538,43.6987892
Restaurant,FUSION LOUNGE INC,6915,DIXIE,RD,,Unit,4,MISSISSAUGA,ON,L5T2G2,548,-79.6628408,43.6691521
Restaurant,FV FOODS,1125,DUNDAS,ST,E,Unit,10,MISSISSAUGA,ON,L4Y2C4,549,-79.5910701,43.603968
Restaurant,GABRIELS BAR AND GRILL,6501,MISSISSAUGA,RD,,Unit,2,MISSISSAUGA,ON,L5N1A6,550,-79.7368328,43.5989753
Restaurant,GALITOS FLAME GRILLED CHICKEN,5200,DIXIE,RD,,Unit,54,MISSISSAUGA,ON,L4W 1E4,551,-79.6281032,43.6395733
Restaurant,GALITOS FLAME GRILL CHICKEN,731,CENTRAL PKY,,W,Bldg,5,MISSISSAUGA,ON,L5B 4L1,552,-79.6449474,43.5769596
Restaurant,GASPERINOS ITALIAN EATERY,1510,DREW,RD,,Unit,1,MISSISSAUGA,ON,L5S1W7,553,-79.6793278,43.6798482
Restaurant,GERMAN CANADIAN CLUB "HANSA",6650,HURONTARIO,ST,,,,MISSISSAUGA,ON,L5M2B5,554,NA,NA
Restaurant,GIBBYS CAFE INC.,2810,MATHESON,BLVD,E,Unit,105,MISSISSAUGA,ON,L4W 4X7,555,-79.5951076,43.6656306
Restaurant,GIG A BYTES,88,FOSTER,CRES,,Floor,GROUND,MISSISSAUGA,ON,L5R 4A1,556,-79.6842382,43.6262848
Restaurant,GINOS PIZZA,2157,ROYAL WINDSOR,DR,,Unit,1,MISSISSAUGA,ON,L5J 1K5,557,-79.6354729,43.5079906
Restaurant,GINOS PIZZA,735,TWAIN,AVE,,Suite,B7,MISSISSAUGA,ON,L5W 1X1,558,-79.7282445,43.6378473
Restaurant,GINOS PIZZA #145,7205,GOREWAY,DR,,Unit,24A,MISSISSAUGA,ON,L4T2T9,559,-79.6382803,43.719687
Restaurant,GIORGIOS RISTORANTE,200,QUEEN,ST,S,Unit,2,MISSISSAUGA,ON,L5M1L3,560,-79.7138703,43.5812956
Restaurant,GLAXO CAFETERIA,7333,MISSISSAUGA,RD,N,,,MISSISSAUGA,ON,L5N6L4,561,-79.7554089,43.6158041
Restaurant,GOLD STAR RESTAURANT,950,SOUTHDOWN,RD,,Unit,5B,MISSISSAUGA,ON,L5J 2Y4,562,-79.6263484,43.5041809
Restaurant,GOLDEN DOUGH,800,DUNDAS,ST,E,UNIT,D,MISSISSAUGA,ON,L4Y 2B6,563,-79.5972141,43.5957692
Restaurant,GOLDEN FOUNTAIN CHINESE RESTAURANT,1250,EGLINTON,AVE,W,Unit,A.1,MISSISSAUGA,ON,L5V1N3,564,-79.6828352,43.5792216
Restaurant,GOLDEN MOON RESTAURANT,1177,CENTRAL PKY,,W,Unit,5,MISSISSAUGA,ON,L5C 4P3,565,-79.6603851,43.567667
Restaurant,GOLDEN TURTLE VIETNAMESE RESTAURANT,723,CENTRAL,PKWY,W,Unit,101,Mississauga,ON,L5B 1L6,566,-79.6318759,43.586241
Restaurant,GOLDENVIEW CHINESE RESTAURANT,6675,FALCONER,DR,,UNIT,4,MISSISSAUGA,ON,L5N 0C3,567,-79.7278939,43.6057425
Restaurant,GOLF DOME MISSISSAUGA (DiMARCO GOLF DOME),5750,DATSUN,RD,,,,MISSISSAUGA,ON,L4W1H2,568,-79.6452983,43.6479699
Restaurant,GOODFELLAS PIZZA,209,QUEEN,ST,S,,,MISSISSAUGA,ON,L5M1L4,569,-79.713169,43.5818264
Restaurant,GORKHA PALACE,1855,DUNDAS,ST,E,Unit,3,MISSISSAUGA,ON,L4X 1M1,570,-79.5724601,43.6209665
Restaurant,GOURMET CAFE,2300,EGLINTON,AVE,W,Unit,102,MISSISSAUGA,ON,L5M2V8,571,-79.7052797,43.5592618
Restaurant,GOURMET CUISINE #23078.1/OSRAM SYLVANIA LTD,2001,DREW,RD,,,,MISSISSAUGA,ON,L5S1S4,572,-79.6677522,43.6903605
Restaurant,GRANO RISTORANTE,285,ENFIELD,PL,,Unit,R108,MISSISSAUGA,ON,L5B3Y6,573,-79.6357361,43.5903076
Restaurant,GRAYDON BAR & GRILL,235,QUEEN,ST,S,,,MISSISSAUGA,ON,L5M 1L7,574,-79.7117665,43.5805105
Restaurant,GRECIAN PLACE RESTAURANT,1935,DREW,RD,,Unit,10,MISSISSAUGA,ON,L5S1M7,575,-79.6716109,43.6892292
Restaurant,GREEK STOP,90,COURTNEYPARK,DR,E,Unit,3,MISSISSAUGA,ON,L5T 2Y3,576,-79.6902004,43.636624
Restaurant,GREEN GROTTO (GRAND PARK) INC,3920,GRAND PARK,DR,,Unit,8,MISSISSAUGA,ON,L5B 4M6,577,-79.6463509,43.5824369
Restaurant,GRILLIN HUT,1935,DREW,RD,,,15,MISSISSAUGA,ON,L5S1M7,578,-79.6716109,43.6892292
Restaurant,GURULUKSHMI,7070,SAINT BARBARA,BLVD,,Unit,48&50,MISSISSAUGA,ON,L5W 0E6,579,-79.7150974,43.63918
Restaurant,GYROS PLACE INC,1350,MATHESON,BLVD,E,Unit,10B,MISSISSAUGA,ON,L4W 4M1,580,-79.632841,43.6407483
Restaurant,HAKKA KHAZANNA,735,TWAIN,AVE,,Unit,56,MISSISSAUGA,ON,L5W 1X1,581,-79.7282445,43.6378473
Restaurant,HAKKA LEGEND ASIAN CUISINE,6415,ERIN MILLS,PKWY,,Unit,B.1,MISSISSAUGA,ON,L5N4H4,582,-79.741039,43.5868751
Restaurant,HAKKA MAGIC,812,BRITANNIA,RD,W,Unit,B1,MISSISSAUGA,ON,L5V  0A7,583,-79.6960747,43.6113981
Restaurant,HAKKA REN,4555,HURONTARIO,ST,,,C-2,MISSISSAUGA,ON,L4Z3M1,584,-79.6495965,43.6062774
Restaurant,HANDAAN FILIPINO CUISINE,3008,NOVAR,RD,,,,MISSISSAUGA,ON,L5B 1S4,585,-79.6195922,43.5782835
Restaurant,HANNAHS  CAFE & DELI,75,WATLINE,AVE,,Unit,GRO7,MISSISSAUGA,ON,L4Z3E5,586,-79.6716109,43.6233547
Restaurant,HAPPY DIM SUM BAKERY INC,680,SILVER CREEK,BLVD,,Unit,3,MISSISSAUGA,ON,L5A3Z1,587,-79.6028311,43.5950958
Restaurant,HARBIN B.B.Q,888,DUNDAS,ST,E,Unit,A.2,MISSISSAUGA,ON,L4Y 2B8,588,-79.5915968,43.6000067
Restaurant,HARRYS PLACE RESTAURANT,988,BURNHAMTHORPE,RD,E,,,MISSISSAUGA,ON,L4Y2X6,589,-79.6105539,43.6142175
Restaurant,HARVEYS,1505,DUNDAS,ST,E,,,MISSISSAUGA,ON,L4X1L3,590,-79.5824679,43.6116423
Restaurant,HARVEYS,2077,ROYAL WINDSOR,DR,,,,MISSISSAUGA,ON,L5J1K5,591,-79.6354729,43.5079906
Restaurant,HARVEYS,2681,DUNDAS,ST,W,,,MISSISSAUGA,ON,L5K1R9,592,-79.6812569,43.5242138
Restaurant,HARVEYS,6430,ERIN MILLS,PKWY,,,,MISSISSAUGA,ON,L5N 3P3,593,-79.7434926,43.5867997
Restaurant,HARVEYS #2312,715,BURNHAMTHORPE,RD,W,,,MISSISSAUGA,ON,L5C3A6,594,-79.652842,43.579017
Restaurant,HARVEYS #2466,4559,HURONTARIO,ST,,Unit,A13,MISSISSAUGA,ON,L4Z 3L9,595,-79.6491579,43.605272
Restaurant,HARVEYS RESTAURANT,6995,REXWOOD,RD,,Bldg,A,MISSISSAUGA,ON,L4V 1V5,596,-79.6259975,43.7158974
Restaurant,HAWAII BAKERY & TEA HOUSE,1100,BURNHAMTHORPE,RD,W,Unit,25,MISSISSAUGA,ON,L5C 4G4,597,-79.6612622,43.5699763
Restaurant,HAZE LOUNGE INC,4230,SHERWOODTOWNE,BLVD,,Unit,100,MISSISSAUGA,ON,L4Z2G6,598,-79.6402103,43.6001485
Restaurant,HEART SUSHI,30,BRISTOL,RD,E,Unit,1,MISSISSAUGA,ON,L4Z 3K8,599,-79.6610867,43.6152695
Restaurant,HEART SUSHI,815,BRITANNIA,RD,W,Unit,2,MISSISSAUGA,ON,L5V 2X8,600,-79.7003705,43.6093376
Restaurant,HEARTLAND SECOND CUP,5985,MAVIS,RD,,Unit,1,MISSISSAUGA,ON,L5R 3T7,601,-79.6933568,43.6116711
Restaurant,HERO CERTIFIED BURGER,2690,ERIN CENTRE,BLVD,,Unit,A007B,MISSISSAUGA,ON,L5M 5P5,602,-79.7157987,43.5584313
Restaurant,HERO CERTIFIED BURGERS,2969,ARGENTIA,RD,,Unit,5,MISSISSAUGA,ON,L5N 0A2,603,-79.7837912,43.5996461
Restaurant,HERO CERTIFIED BURGERS,6045,CREDITVIEW,RD,,Suite,F,MISSISSAUGA,ON,,604,NA,NA
Restaurant,HERSHEY CENTRE,5500,ROSE CHERRY,PL,,,,MISSISSAUGA,ON,L4Z 4B6,605,-79.6537191,43.6321163
Restaurant,HIGHLAND FARMS,50,MATHESON,BLVD,E,,,MISSISSAUGA,ON,L4Z1N5,606,-79.6702077,43.6214454
Restaurant,HILTON GARDEN INN TORONTO AIRPORT WEST,1870,MATHESON,BLVD,E,,,MISSISSAUGA,ON,L4W 0B3,607,-79.6203819,43.6382736
Restaurant,HINOTE SUSHI RESTAURANT,720,BRISTOL,RD,W,UNIT,4,MISSISSAUGA,ON,L5R 4A3,608,-79.6798539,43.5990076
Restaurant,HMSHOST/BAR 120/T1 DOMESTIC,1,LESTER B PEARSON INTL AIRPORT,,,,,MISSISSAUGA,ON,L5P 1C4,609,-79.6628408,43.6691521
Restaurant,HMSHOST/BEACHES-FARMERS MARKET/T1 DOMESTIC,1,LESTER B PEARSON INTL AIRPORT,,,,,MISSISSAUGA,ON,L5P 1C4,610,-79.6628408,43.6691521
Restaurant,HMSHOST/BELAIRE-STARBUCKS/T1 PRE SECURE ARRIVALS,1,LESTER B PEARSON INTL AIRPORT,,,,,MISSISSAUGA,ON,L5P 1C4,611,-79.6628408,43.6691521
Restaurant,HMSHOST/BICI CASEY-SUSAR LEE/T1 INTERNATIONAL,1,LESTER B PEARSON INTL AIRPORT,,,,,MISSISSAUGA,ON,,612,NA,NA
Restaurant,HMSHOST/BRIOCHE-PARAMOUNT/T3 INTERNATIONAL,3,LESTER B PEARSON INTL AIRPORT,,,,,MISSISSAUGA,ON,L5P 1C4,613,-79.6628408,43.6691521
Restaurant,HMSHOST/CAPLANSKY-STARBUCKS/T3 DOMESTIC,3,LESTER B PEARSON INTL AIRPORT,,,,,MISSISSAUGA,ON,L5P 1C4,614,-79.6628408,43.6691521
Restaurant,HMSHOST/CASEY-TWIST/T1 DOMESTIC,1,LESTER B PEARSON INTL AIRPORT,,,,,MISSISSAUGA,ON,L5P 1C4,615,-79.6628408,43.6691521
Restaurant,HMSHOST/FIONN MACOOL/T3 DOMESTIC,3,LESTER B PEARSON INTL AIRPORT,,,,,MISSISSAUGA,ON,L5P 1C4,616,-79.6628408,43.6691521
Restaurant,HMSHOST/GREAT CANADIAN BAGEL/T1 US,1,LESTER B PEARSON INTL AIRPORT,,,,,MISSISSAUGA,ON,L5P 1C4,617,-79.6628408,43.6691521
Restaurant,HMSHOST/KENSINGTON FOOD COURT/T1 DOMESTIC,1,LESTER B PEARSON INTL AIRPORT,,,,,MISSISSAUGA,ON,L5P 1C4,618,-79.6628408,43.6691521
Restaurant,HMSHOST/METEOR/T3 US,3,LESTER B PEARSON INTL AIRPORT,,,,,MISSISSAUGA,ON,L5P 1C4,619,-79.6628408,43.6691521
Restaurant,HMSHOST/MOLSON-HEARTH/T1 US,1,LESTER B PEARSON INTL AIRPORT,,,,,MISSISSAUGA,ON,L5P 1C4,620,-79.6628408,43.6691521
