COMPLEX.ID,Character.Area,Z.Area,Street.Number,Street.Name,Designation,Zoning,Complex.Name,Site.Area..ha.,Site.Area..acre.,Total.Parking,GFA.Residential..m2.,GFA.Residential..ft2.,GFA.Retail..m2.,GFA.Retail..ft2.,GFA.Total..m2.,GFA.Total..ft2.,Building.Type,Tenure.Residential,Townhouse.Blocks,Storeys.Total,Number.Of.Residential.Units,Number.Of.Retail.Units,Density..Unit.Ha.,Density..Unit.Acre.,FSI,OBJECTID,address,lon,lat
42,Meadowvale NHD,46W,6240,Montevideo Rd,Medium Density,RM4,,1.54,3.805423,117,7364,79265.43626,0,0,7364,79265.43626,Townhouse,PCC,4,3,52,0,34,14,0.478182,24,6240 Montevideo Rd,-79.7467909,43.5837853
43,Meadowvale NHD,46W,6100,Montevideo Rd,Medium Density,RM4,,2.14,5.288055,169,9757,105023.4739,0,0,9757,105023.4739,Townhouse,PCC,9,3,75,0,35,14,0.455935,25,6100 Montevideo Rd,-79.7433179,43.5827442
44,Meadowvale NHD,46W,6040,Montevideo Rd,Medium Density,RM4,,2.34,5.782266,180,NA,NA,0,0,NA,NA,Townhouse,PCC,9,3,81,0,35,14,NA,26,6040 Montevideo Rd,-79.7429914,43.5816011
46,Meadowvale NHD,46W,2617,Windwood Dr,Medium Density,RM4,,1.03,2.545185,77,3789,40784.45654,0,0,3789,40784.45654,Townhouse,PCC,4,2,34,0,33,13,0.367864,27,2617 Windwood Dr,-78.1922133,39.1583797
48,Meadowvale NHD,46W,2755,Windwood Dr,Medium Density,RM4,,1.94,4.793844,153,7547,81235.23186,0,0,7547,81235.23186,Townhouse,PCC,3,3,68,0,35,14,0.389021,28,2755 Windwood Dr,-78.1952298,39.1556968
49,Meadowvale NHD,46W,2881,Windwood Dr,Medium Density,RM4,,2.53,6.251766,194,10246,110287.0261,0,0,10246,110287.0261,Townhouse,PCC,8,2,86,0,34,14,0.40498,29,2881 Windwood Dr,-90.4353883,36.7881735
50,Meadowvale NHD,46W,6152-6205,Townwood Crt,Medium Density,RM5,Townwood Court,1.34,3.311212,96,NA,NA,0,0,NA,NA,Townhouse,Freehold,6,2,48,0,36,14,NA,30,6152-6205 Townwood Crt,-79.7475723,43.574509
51,Meadowvale NHD,46W,5730,Montevideo Rd,Medium Density,RM4,,1.64,4.052528,129,7159,77058.83463,0,0,7159,77058.83463,Townhouse,PCC,9,2,57,0,35,14,0.436524,31,5730 Montevideo Rd,-82.9091025,40.089706
52,Meadowvale NHD,46W,5878,Montevideo Rd,Medium Density,RM4,,1.74,4.299634,146,6876,74012.64798,0,0,6876,74012.64798,Townhouse,PCC,11,3,60,0,34,14,0.395172,32,5878 Montevideo Rd,-82.9090243,40.0916161
53,Meadowvale NHD,46W,5610,Montevideo Rd,Medium Density,RM4,,2.34,5.782266,180,9104,97994.64037,0,0,9104,97994.64037,Townhouse,PCC,10,2,80,0,34,14,0.38906,33,5610 Montevideo Rd,-82.909039,40.086884
54,Meadowvale NHD,46W,5536,Montevideo Rd,Medium Density,RM4,,1.94,4.793844,151,8639,92989.42203,0,0,8639,92989.42203,Townhouse,PCC,7,2,67,0,35,14,0.445309,34,5536 Montevideo Rd,-79.75173,43.5803784
55,Meadowvale NHD,46W,6520,Corfu Rd,Medium Density,RM4,The Winston Churchill Townhomes,2,4.942108,165,9944,107036.3251,0,0,9944,107036.3251,Townhouse,PCC,8,2,73,0,36,15,0.4972,35,6520 Corfu Rd,-79.755849,43.579534
56,Meadowvale NHD,46W,2651,Aquitaine Ave,Medium Density,RM4,Meadow Lanes,2.53,6.251766,86,12511,134667.2831,0,0,12511,134667.2831,Townhouse,PCC,5,3,86,0,34,14,0.494506,36,2651 Aquitaine Ave,-79.757478,43.58965
57,Meadowvale NHD,46W,6679,Shelter Bay Rd,Medium Density,RM4,,2.25,5.559871,176,10511,113139.4623,0,0,10511,113139.4623,Townhouse,PCC,3,2,78,0,35,14,0.467156,37,6679 Shelter Bay Rd,-79.7620098,43.5878418
58,Meadowvale NHD,46W,2701,Aquitaine Ave,Medium Density,RM4,,2.8,6.918951,138,11395,122654.7591,0,0,11395,122654.7591,Townhouse,PCC,11,2,97,0,35,14,0.406964,38,2701 Aquitaine Ave,-79.7571431,43.5879717
59,Meadowvale NHD,46W,1-29,Bent Oak Cir,Low Density II,R3-8,,1.49,3.68187,58,NA,NA,0,0,NA,NA,Detached,PCC,NA,2,29,0,19,8,NA,39,1-29 Bent Oak Cir,-91.8187214,30.0141457
61,Meadowvale NHD,46W,5525-5555/6520,6530,Montevideo Rd/Glen Erin Dr,Medium Density,RM4,Bristol Court Townhouses,1.3,3.21237,100,4680,50375.10072,0,0,4680,50375.10072,Townhouse,CDM,6,2,43,0,33,13,0.36,40,5525-5555/6520,6530 Montevideo Rd/Glen Erin Dr,NA,NA
62,Meadowvale NHD,46W,631063306350,Montevideo Rd,Medium Density,RM4,Waterford Townhouses,1.22,3.014686,79,NA,NA,0,0,NA,NA,Townhouse,RNTL,5,2,34,0,28,11,NA,41,631063306350 Montevideo Rd,-76.7661675,39.1619724
64,Meadowvale NHD,46W,6680,Shelter Bay Rd,Medium Density,RM4,The Meadows Cooperative Homes ,1.11,2.74287,131,6532,70309.8628,0,0,6532,70309.8628,Townhouse,COOP-FED,3,3,61,0,55,22,0.588468,42,6680 Shelter Bay Rd,-79.7610324,43.587237
70,Meadowvale NHD,46W,1-46,Neuchatel Pl,Low Density II,R3-8,,2.33,5.757555,92,NA,NA,0,0,NA,NA,Detached,PCC,NA,2,46,0,20,8,NA,43,1-46 Neuchatel Pl,-79.7508723,43.5751423
