COMPLEX.ID,Character.Area,Z.Area,Street.Number,Street.Name,Designation,Zoning,Complex.Name,Site.Area..ha.,Site.Area..acre.,Total.Parking,GFA.Residential..m2.,GFA.Residential..ft2.,GFA.Retail..m2.,GFA.Retail..ft2.,GFA.Total..m2.,GFA.Total..ft2.,Building.Type,Tenure.Residential,Townhouse.Blocks,Storeys.Total,Number.Of.Residential.Units,Number.Of.Retail.Units,Density..Unit.Ha.,Density..Unit.Acre.,FSI,OBJECTID,address,lon,lat
212,East Credit NHD,38E,5040,Fallingbrook Dr,Medium Density,RM4,,0.85,2.100396,86,NA,NA,0,0,NA,NA,Townhouse,RNTL-PRIVNP,6,3,43,0,51,20,NA,91,5040 Fallingbrook Dr,-79.6802042,43.5836835
213,Streetsville NHD,45W,59,Kenninghall Blvd,Low Density II,R3-46,,1.91,4.719713,90,NA,NA,0,0,NA,NA,Detached,PCC,NA,2,35,0,18,7,NA,92,59 Kenninghall Blvd,-79.720595,43.603091
224,Rathwood NHD,28,640,Rathburn Rd E,Medium Density,RM4,,0.84,2.075685,77,4059,43690.71235,0,0,4059,43690.71235,Townhouse,PCC,5,2,34,0,40,16,0.483214,93,640 Rathburn Rd E,-79.6222734,43.609667
225,Rathwood NHD,28,485,Meadows Blvd,Medium Density,RM4,Forestview Village,2.74,6.770687,198,10191,109695.011,0,0,10191,109695.011,Townhouse,PCC,9,2,84,0,31,12,0.371934,94,485 Meadows Blvd,-79.630807,43.609308
226,East Credit NHD,30,835-859,Millworks Cres,Medium Density,RM5,Bradwick Development,0.35,0.864869,NA,NA,NA,0,0,NA,NA,Townhouse,Freehold,NA,2,13,0,37,15,NA,95,835-859 Millworks Cres,-79.6729622,43.588107
227,Rathwood NHD,28,345,Meadows Blvd,Medium Density,RM4,,1.33,3.286502,99,5388,57995.94929,0,0,5388,57995.94929,Townhouse,PCC,3,2,44,0,33,13,0.405113,96,345 Meadows Blvd,-89.8376355,30.3267263
228,Rathwood NHD,28,333,Meadows Blvd,Medium Density,RM4,Williamsburg Townhouses,3.44,8.500425,287,51816,557742.7818,0,0,51816,557742.7818,Townhouse,PCC-RNTL,13,2,127,0,37,15,1.506279,97,333 Meadows Blvd,-89.8376355,30.3267263
229,Rathwood NHD,28,370,Rathburn Rd E,Medium Density,RM4,,2.24,5.535161,156,9271,99792.21341,0,0,9271,99792.21341,Townhouse,COOP-FED,13,2,82,0,37,15,0.413884,98,370 Rathburn Rd E,-79.6329949,43.606809
231,East Credit NHD,38E,5026-5066/5036-5071/1065-1097,Moulin Rouge Cres/Warwickshire Way/Wilmington Dr,Medium Density,RM5-3,Manors of Sherwood,1.9,4.695002,130,NA,NA,0,0,NA,NA,Townhouse,Freehold,11,2,69,0,36,15,NA,99,5026-5066/5036-5071/1065-1097 Moulin Rouge Cres/Warwickshire Way/Wilmington Dr,NA,NA
232,Rathwood NHD,28,4122-4144,Clevedon Dr,Low Density II,RM5-3,,0.24,0.593053,16,1216,13088.91506,0,0,1216,13088.91506,Townhouse,Freehold,2,2,8,0,33,13,0.506667,100,4122-4144 Clevedon Dr,-79.6334363,43.6010582
233,Rathwood NHD,28,4137-4145,Dursley Cres,Low Density II,RM5-3,,0.15,0.370658,10,700,7534.737287,0,0,700,7534.737287,Townhouse,Freehold,1,2,5,0,33,13,0.466667,101,4137-4145 Dursley Cres,-79.633811,43.6007637
234,Rathwood NHD,28,4079-4099,Dursley Cres,Low Density II,RM5-3,,0.22,0.543632,14,975,10494.81265,0,0,975,10494.81265,Townhouse,Freehold,2,2,7,0,32,13,0.443182,102,4079-4099 Dursley Cres,-79.6328534,43.5997213
235,Rathwood NHD,28,3976-4156,Bishopstoke Lane,Low Density II,RM5-3,,1.27,3.138238,96,NA,NA,0,0,NA,NA,Townhouse,Freehold,7,2,48,0,38,15,NA,103,3976-4156 Bishopstoke Lane,-79.6357318,43.599905
240,Rathwood NHD,28,4267-4271,Ryeford Crt,Low Density II,RM5-3,,0.15,0.370658,6,409,4402.439358,0,0,409,4402.439358,Townhouse,Freehold,1,2,3,0,20,8,0.272667,104,4267-4271 Ryeford Crt,-79.6371037,43.6030769
241,Rathwood NHD,28,425,Meadows Blvd,Medium Density,RM4,,2.24,5.535161,190,8847,95228.3154,0,0,8847,95228.3154,Townhouse,COOP-FED,10,2,81,0,36,15,0.394955,105,425 Meadows Blvd,-79.6307543,43.60741
256,East Credit NHD,37W,833,Scollard Crt,Medium Density,RM4,The Village of Lindenview,3.39,8.376872,NA,NA,NA,0,0,NA,NA,Townhouse,PCC,19,2,127,0,37,15,NA,106,833 Scollard Crt,-79.6736938,43.5926151
266,Mississauga Valleys NHD,21,1250,Mississauga Valley Blvd,Medium Density,RM9,,3.88,9.587689,233,25055,269689.7753,0,0,25055,269689.7753,Townhouse,PCC,17,3,186,0,48,19,0.645747,107,1250 Mississauga Valley Blvd,-79.6251661,43.5987199
267,East Credit NHD,38E,1485/1484,Torrington Dr,Medium Density,RM4,,2.71,6.696556,187,8787,94582.48077,0,0,8787,94582.48077,Townhouse,PCC,12,2,80,0,30,12,0.324244,108,1485/1484 Torrington Dr,-79.7012156,43.5915595
268,Mississauga Valleys NHD,21,600,Silver Creek Blvd,Medium Density,RM4,,2.25,5.559871,110,9327,100394.9924,0,0,9327,100394.9924,Townhouse,PCC,10,2,80,0,36,14,0.414533,109,600 Silver Creek Blvd,-79.6048523,43.5947354
269,Mississauga Valleys NHD,21,3225,Cliff Rd N,Medium Density,RM4,,1.72,4.250213,102,6204,66779.30018,0,0,6204,66779.30018,Townhouse,RNTL-PNP,9,2,69,0,40,16,0.360698,110,3225 Cliff Rd N,-79.6152656,43.5916242
270,Mississauga Valleys NHD,21,400,Mississauga Valley Blvd,Medium Density,RM4,,3.89,9.612399,240,17741,190962.5346,0,0,17741,190962.5346,Townhouse,PCC,16,3,160,0,41,17,0.456067,111,400 Mississauga Valley Blvd,-79.6140411,43.5901233
271,DT Fairview,21,215,Mississauga Valley Blvd,Medium Density,RM4,,4.19,10.353715,209,17829,191909.7587,0,0,17829,191909.7587,Townhouse,PCC,10,2,161,0,38,16,0.425513,112,215 Mississauga Valley Blvd,-79.6240215,43.5885706
272,DT Fairview,21,180,Mississauga Valley Blvd,Medium Density,RM4,The Colony,5.75,14.208559,293,28657,308461.3806,0,0,28657,308461.3806,Townhouse,PCC,26,3,216,0,38,15,0.498383,113,180 Mississauga Valley Blvd,-79.6222608,43.5862721
273,DT Fairview,21,41,Mississauga Valley Blvd,Medium Density,RM4,,3.26,8.055635,138,13922,149855.1607,0,0,13922,149855.1607,Townhouse,PCC,10,2,110,0,34,14,0.427055,114,41 Mississauga Valley Blvd,-79.624912,43.591181
274,Mississauga Valleys NHD,21,3400,Rhonda Valley,Medium Density,RM4,,1.65,4.077239,87,7674,82602.24849,0,0,7674,82602.24849,Townhouse,PCC,6,2,68,0,41,17,0.465091,115,3400 Rhonda Valley,-79.622242,43.592615
275,Mississauga Valleys NHD,21,3395,Cliff Rd N,Medium Density,RM4,Parklane Circle,3.21,7.932083,302,1601,17233.02057,0,0,1601,17233.02057,Townhouse,PCC,13,3,134,0,42,17,0.049875,116,3395 Cliff Rd N,-79.6199076,43.5948319
276,Mississauga Valleys NHD,21,400,Bloor St,Medium Density,RM4,,1.24,3.064107,386,12303,132428.3898,0,0,12303,132428.3898,Townhouse,PCC,11,3,104,0,84,34,0.992177,117,400 Bloor St,-79.619071,43.597323
278,Mississauga Valleys NHD,21,405,Hyacinthe Blvd,Medium Density,RM4,Westwind Gardens,2.71,6.696556,136,13296,143116.9528,0,0,13296,143116.9528,Townhouse,PCC,12,3,112,0,41,17,0.490627,118,405 Hyacinthe Blvd,-79.620952,43.59834
279,Mississauga Valleys NHD,21,1180,Mississauga Valley Blvd,Medium Density,RM4,,3.45,8.525136,224,17257,185752.8019,0,0,17257,185752.8019,Townhouse,PCC,12,2,118,0,34,14,0.500203,119,1180 Mississauga Valley Blvd,-79.6226502,43.600454
281,Mississauga Valleys NHD,21,3640-3658,Cawthra Rd,Medium Density,RM4,Cawthra Townhouses,0.28,0.691895,13,1072,11538.91196,0,0,1072,11538.91196,Townhouse,RNTL,1,2,10,0,36,14,0.382857,120,3640-3658 Cawthra Rd,-79.61825,43.607049
282,Mississauga Valleys NHD,21,3375-3403,Silverado Dr,Medium Density,RM5-1,Silverado Townhouses,0.44,1.087264,34,1935,20828.16664,0,0,1935,20828.16664,Townhouse,Freehold,1,3,15,0,34,14,0.439773,121,3375-3403 Silverado Dr,-87.9406217,41.1212192
283,Mississauga Valleys NHD,21,3345,Silverado Dr,Medium Density,RM4,,2.12,5.238634,178,9321,100330.4089,0,0,9321,100330.4089,Townhouse,PCC,8,2,73,0,34,14,0.43967,122,3345 Silverado Dr,-87.9404246,41.1212208
285,East Credit NHD,30,1228-1276,Vanrose St,Medium Density,RM5,,0.45,1.111974,34,3200,34444.51331,0,0,3200,34444.51331,Townhouse,Freehold,3,2,17,0,38,15,0.711111,123,1228-1276 Vanrose St,-79.6809152,43.5785794
296,East Credit NHD,30,4612-4664/4678-4688,Wayside Crt/Penhallow Rd,Medium Density,RM5,Bradwick Development,0.64,1.581474,62,3675,39557.37076,0,0,3675,39557.37076,Townhouse,Freehold,5,2,21,0,33,13,0.574219,124,4612-4664/4678-4688 Wayside Crt/Penhallow Rd,NA,NA
298,Rathwood NHD,26,4156,Fieldgate Dr,Medium Density,RM4,Rockwood Village Block D,1.15,2.841712,90,5756,61957.06832,0,0,5756,61957.06832,Townhouse,PCC,5,3,40,0,35,14,0.500522,125,4156 Fieldgate Dr,-86.2983796,41.7368475
299,Rathwood NHD,26,4230,Fieldgate Dr,Medium Density,RM4,,1.24,3.064107,98,6169,66402.56332,0,0,6169,66402.56332,Townhouse,PCC,5,3,43,0,35,14,0.4975,126,4230 Fieldgate Dr,-86.2984129,41.736847
300,Rathwood NHD,26,4165,Fieldgate Dr,Medium Density,RM4,Rockwood Village Block C,3.27,8.080346,258,16383,176345.1442,0,0,16383,176345.1442,Townhouse,PCC,11,3,113,0,35,14,0.501009,127,4165 Fieldgate Dr,-86.2984368,41.7368746
301,Rathwood NHD,26,1755,Rathburn Rd E,Medium Density,RM4,,3.73,9.217031,286,18367,197700.7425,0,0,18367,197700.7425,Townhouse,PCC,17,3,127,0,34,14,0.492413,128,1755 Rathburn Rd E,-79.6000953,43.6344485
302,Rathwood NHD,26,1764,Rathburn Rd E,Medium Density,RM4,Rockwood Village Block B,1.34,3.311212,104,6489,69847.01465,0,0,6489,69847.01465,Townhouse,PCC,4,3,46,0,34,14,0.484254,129,1764 Rathburn Rd E,-79.5991525,43.634094
303,Rathwood NHD,26,1855,Maple Ridge Dr,Medium Density,RM4,,1.63,4.027818,97,NA,NA,0,0,NA,NA,Townhouse,PCC,3,3,43,0,26,11,NA,130,1855 Maple Ridge Dr,-78.8519188,45.2664229
304,Rathwood NHD,26,1951,Rathburn Rd E,Medium Density,RM4,Rathburn Place,6.63,16.383087,516,33351,358987.1761,0,0,33351,358987.1761,Townhouse,PCC,21,3,228,0,34,14,0.503032,131,1951 Rathburn Rd E,-79.5953913,43.6389399
305,Rathwood NHD,26,2120,Rathburn Rd E,Medium Density,RM4,Rathburn Ridge,4.84,11.9599,376,29632,318956.1933,0,0,29632,318956.1933,Townhouse,PCC,14,2,167,0,35,14,0.612231,132,2120 Rathburn Rd E,-79.5921996,43.6425675
306,DT Cooksville,21,3175,Kirwin Ave,Medium Density,RM4,,4,9.884215,255,20013,215418.139,0,0,20013,215418.139,Townhouse,PCC,10,3,169,0,42,17,0.500325,133,3175 Kirwin Ave,-79.6169689,43.5862754
307,DT Hospital,14,2145,Sherobee Rd,Medium Density,RM4,,2.64,6.523582,136,13137,141405.4911,0,0,13137,141405.4911,Townhouse,PCC,10,3,108,0,41,17,0.497614,134,2145 Sherobee Rd,-79.60157,43.5728438
308,Cooksville NHD (East),14,2075,Asta Dr,Medium Density,RM4,Astra Park,1.15,2.841712,102,4966,53453.5791,0,0,4966,53453.5791,Townhouse,PCC,4,3,45,0,39,16,0.431826,135,2075 Asta Dr,-79.5878417,43.5823616
319,Hurontario NHD,37W,540-599,Ashprior Ave,Medium Density,RM5,,1.55,3.830133,94,NA,NA,0,0,NA,NA,Townhouse,Freehold,6,2,47,0,30,12,NA,136,540-599 Ashprior Ave,-79.6856132,43.6114873
324,Hurontario NHD,37W,705-818,Ashprior Ave,Medium Density,RM5,,2.25,5.559871,172,12040,129597.4813,0,0,12040,129597.4813,Townhouse,Freehold,10,2,86,0,38,15,0.535111,137,705-818 Ashprior Ave,-79.6858683,43.6072535
332,Hurontario NHD,36W,441-489/460-484,Barondale Dr/Dalmuir Mews,Low Density II,RM5,,0.85,2.100396,72,NA,NA,0,0,NA,NA,Townhouse,Freehold,4,2,36,0,42,17,NA,138,441-489/460-484 Barondale Dr/Dalmuir Mews,NA,NA
354,Hurontario NHD,36W,45-85/60,Bristol Rd E/Barondale Dr,Medium Density,RA1-16,Lakeview,5.44,13.442533,666,29343,315845.4232,0,0,29343,315845.4232,Townhouse,PCC,20,3,310,0,57,23,0.539393,139,45-85/60 Bristol Rd E/Barondale Dr,-79.6503897,43.6196625
361,East Credit NHD,38E,1455,Bristol Rd W,Medium Density,RM4,Labourers Local 183 Non Profit,2,4.942108,80,8400,90416.84744,0,0,8400,90416.84744,Townhouse,RNTL-PRIVNP,13,2,69,0,34,14,0.42,140,1455 Bristol Rd W,-79.6958646,43.5880212
371,Erin Mills NHD,25,3058,Fifth Line West,Medium Density,RM4,Gran Columbia,1.761,4.351526,154,7978,85874.47725,0,0,7978,85874.47725,Townhouse,RNTL-PNP,13,2,77,0,44,18,0.453038,141,3058 Fifth Line West,-79.6694973,43.5363979
373,Erin Mills NHD,25,3100,Fifth Line West,Medium Density,RM4,,1.712,4.230444,146,8534,91859.21144,0,0,8534,91859.21144,Townhouse,PCC,11,3,73,0,43,17,0.498481,142,3100 Fifth Line West,-79.6704523,43.5373776
374,Erin Mills NHD,25,3500,Glen Erin Dr,Medium Density,RM4,,1.63,4.027818,124,7128,76725.1534,0,0,7128,76725.1534,Townhouse,PCC,8,2,55,0,34,14,0.437301,143,3500 Glen Erin Dr,-79.6889781,43.5380474
375,Erin Mills NHD,25,3339,Council Ring Rd,Medium Density,RM4,The Pines,2.43,6.004661,187,13000,139930.8353,0,0,13000,139930.8353,Townhouse,PCC,11,2,83,0,34,14,0.534979,144,3339 Council Ring Rd,-79.6911176,43.5406456
376,Erin Mills NHD,25,3360,Council Ring Rd,Medium Density,RM4,The Barrington,1.88,4.645581,144,8196,88221.00972,0,0,8196,88221.00972,Townhouse,PCC,8,2,64,0,34,14,0.435957,145,3360 Council Ring Rd,-79.69134,43.541772
378,Erin Mills NHD,25,33503351,Hornbeam Cres,Medium Density,RM4,Hornbeam Townhouses,1.74,4.299634,172,NA,NA,0,0,NA,NA,Townhouse,PCC,11,2,87,0,50,20,NA,146,33503351 Hornbeam Cres,-1.5258174,53.9827917
380,South Common CN,25,2300,South Millway,Medium Density,RM4,Midwich Co-op,2.84,7.017793,356,17279,185989.608,0,0,17279,185989.608,Townhouse,COOP-FED,15,3,162,0,57,23,0.608415,147,2300 South Millway,-79.6833726,43.5396518
381,Erin Mills NHD,25,2288,The Collegeway,Medium Density,RM4,Brookmede Square,2.24,5.535161,186,9813,105626.2529,0,0,9813,105626.2529,Townhouse,PCC,9,2,83,0,37,15,0.43808,148,2288 The Collegeway,-79.6819285,43.5383797
383,Erin Mills NHD,25,2024-2166,Millway Gate,Medium Density,RM5-40,Millway Gate,2.66,6.573003,38,NA,NA,0,0,NA,NA,Townhouse,Freehold,4,2,19,0,7,3,NA,149,2024-2166 Millway Gate,-79.6767653,43.5401105
384,Erin Mills NHD,25,2020,South Millway,Medium Density,RM4,,2.33,5.757555,167,9254,99609.22693,0,0,9254,99609.22693,Townhouse,PCC,8,2,74,0,32,13,0.397167,150,2020 South Millway,-79.6746092,43.5392114
385,Erin Mills NHD,24,3330,South Millway,Medium Density,RM4,Peel Non-Profit Springmill Terrace,2.19,5.411608,173,NA,NA,0,0,NA,NA,Townhouse,RNTL-PNP,11,2,75,0,34,14,NA,151,3330 South Millway,-79.6754459,43.5425129
386,Erin Mills NHD,24,3280,South Millway,Medium Density,RM4,Peel Non-Profit Springmill Terrace,1.64,4.052528,129,5723,61601.85928,0,0,5723,61601.85928,Townhouse,RNTL-PNP,8,2,56,0,34,14,0.348963,152,3280 South Millway,-79.6739619,43.5426061
387,Erin Mills NHD,24,3265,South Millway,Medium Density,RM4,Millway Village,3.52,8.698109,330,12892,138768.333,0,0,12892,138768.333,Townhouse,PCC,17,2,85,0,24,10,0.36625,153,3265 South Millway,-79.6730569,43.5419921
388,Erin Mills NHD,24,3061,Sir Johns Homestead,Medium Density,RM4,,1.74,4.299634,61,NA,NA,0,0,NA,NA,Townhouse,RNTL,8,2,61,0,35,14,NA,154,3061 Sir Johns Homestead,-79.6621692,43.5414847
389,Erin Mills NHD,32,2736,Folkway Dr,Medium Density,RM4,Terra Cotta,2.34,5.782266,180,8494,91428.65502,0,0,8494,91428.65502,Townhouse,COOP-FED,7,2,80,0,34,14,0.362991,155,2736 Folkway Dr,-79.6994859,43.546535
390,Erin Mills NHD,32,41712676,Glen Erin Dr, Folkway Dr,Medium Density,RM4,Village Hill Homes,2.8,6.918951,221,NA,NA,0,0,NA,NA,Townhouse,PCC,12,2,97,0,35,14,NA,156,41712676 Glen Erin Dr, Folkway Dr,NA,NA
391,Erin Mills NHD,25,3140,Fifth Line West,Medium Density,RM4,Fifth Line Townhouses,0.8246,2.037631,70,5351,57597.6846,0,0,5351,57597.6846,Townhouse,PCC,5,3,35,0,42,17,0.648921,157,3140 Fifth Line West,-79.6716886,43.5381583
392,South Common CN,25,2333,South Millway,Medium Density,RM4,Ahneen Co-operative Homes Inc,2.146,5.302881,134,6177,66488.6746,0,0,6177,66488.6746,Townhouse,COOP-ROP,12,2,60,0,28,11,0.287838,158,2333 South Millway,-79.6842758,43.5395513
393,Erin Mills NHD,24,1735,The Collegeway,Medium Density,RM4,Townmanors of Sawmill Valley,1.23,3.039396,48,NA,NA,0,0,NA,NA,Townhouse,PCC,3,2,24,0,20,8,NA,159,1735 The Collegeway,-79.666621,43.544786
397,Erin Mills NHD,32,2685-2724,Jerring Mews,Low Density II,RM5,Jerring Mews Townhouses,1.09,2.693449,91,5066,54529.97014,0,0,5066,54529.97014,Townhouse,Freehold,4,2,35,0,32,13,0.464771,160,2685-2724 Jerring Mews,-79.6936855,43.5424248
398,Erin Mills NHD,32,4111,Arbour Green Dr,Medium Density,RM4,Arbour Green Village,1.53,3.780712,118,6567,70686.59966,0,0,6567,70686.59966,Townhouse,PCC,6,2,51,0,33,13,0.429216,161,4111 Arbour Green Dr,-81.6808601,41.1520965
399,Erin Mills NHD,31,2066-2108,Farrier Mews,Low Density II,RM5,Townwood Homes,0.64,1.581474,58,3475,37404.58867,0,0,3475,37404.58867,Townhouse,Freehold,2,2,16,0,25,10,0.542969,162,2066-2108 Farrier Mews,-79.6865742,43.5493847
400,South Common CN,25,2433, 2401/3477,The Collegeway/Glen Erin Dr,Medium Density,RM4,Glenway Court,2.86,7.067214,214,NA,NA,0,0,NA,NA,Townhouse,RNTL-PNP,10,3,110,0,38,16,NA,163,2433, 2401/3477 The Collegeway/Glen Erin Dr,NA,NA
401,South Common CN,25,2301,Burnhamthorpe Rd W,Medium Density,RM4,Forster Terrace,2.33,5.757555,136,8806,94786.99507,0,0,8806,94786.99507,Townhouse,RNTL-PNP,5,2,79,0,34,14,0.37794,164,2301 Burnhamthorpe Rd W,-79.6890355,43.5439762
402,South Common CN,25,2251,Burnhamthorpe Rd W,Medium Density,RM4,Forster Terrace,2.14,5.288055,87,NA,NA,0,0,NA,NA,Townhouse,RNTL-PNP,8,2,73,0,34,14,NA,165,2251 Burnhamthorpe Rd W,-79.687357,43.5450316
411,Hurontario NHD,36W,99-119,Bristol Rd E,Medium Density,RA1-16,Lakeview,4.05,10.007768,675,20289,218388.9783,0,0,20289,218388.9783,Townhouse,PCC,NA,3,230,0,57,23,0.500963,166,99-119 Bristol Rd E,-72.9465145,41.6624537
412,Streetsville NHD,39E,336,Queen St S,Low Density II,R3-47,Princess Mews,1.74,4.299634,72,NA,NA,0,0,NA,NA,Detached,PCC,NA,2,36,0,21,8,NA,167,336 Queen St S,-76.8629211,37.9281035
414,Streetsville NHD,45W,55,Falconer Dr,Low Density II,R3-50,,2.83,6.993082,112,NA,NA,0,0,NA,NA,Detached,PCC,NA,2,48,0,17,7,NA,168,55 Falconer Dr,-79.726127,43.59905
415,Streetsville NHD,45W,98,Falconer Dr,Medium Density,RM4,,2.22,5.485739,96,8445,90901.22341,0,0,8445,90901.22341,Townhouse,PCC,10,2,77,0,35,14,0.380405,169,98 Falconer Dr,-79.729496,43.600259
416,Streetsville NHD,45W,120,Falconer Dr,Medium Density,RM4,,1.4,3.459475,112,NA,NA,0,0,NA,NA,Townhouse,PCC,8,2,48,0,34,14,NA,170,120 Falconer Dr,-79.7299024,43.602611
417,Streetsville NHD,45W,6540,Falconer Dr,Medium Density,RM4,Victoria Wood,4.43,10.946768,214,15226,163891.2999,0,0,15226,163891.2999,Townhouse,PCC,20,2,142,0,32,13,0.343702,171,6540 Falconer Dr,-79.7310823,43.6040276
418,Streetsville NHD,45W,6650,Falconer Dr,Medium Density,RM4,,3.73,9.217031,180,NA,NA,0,0,NA,NA,Townhouse,PCC,23,2,119,0,32,13,NA,172,6650 Falconer Dr,-79.729091,43.60712
419,Streetsville NHD,45W,6699,Falconer Dr,Medium Density,RM4,,1.94,4.793844,132,9114,98102.27948,0,0,9114,98102.27948,Townhouse,PCC,8,2,86,0,44,18,0.469794,173,6699 Falconer Dr,-79.7270983,43.6060296
420,Streetsville NHD,45W,6730/6433,Falconer Dr/Charing Dr,Medium Density,RM4,,2.66,6.573003,128,6788,73065.42386,0,0,6788,73065.42386,Townhouse,PCC,16,2,85,0,32,13,0.255188,174,6730/6433 Falconer Dr/Charing Dr,NA,NA
422,Streetsville NHD,45W,121,Falconer Dr,Medium Density,RM4,,0.83,2.050975,62,3666,39460.49556,0,0,3666,39460.49556,Townhouse,PCC,4,2,27,0,33,13,0.441687,175,121 Falconer Dr,-79.728827,43.602978
423,Streetsville NHD,38W,24,Reid Dr,Medium Density,RM4,The Terrace,0.55,1.35908,53,2530,27232.69334,0,0,2530,27232.69334,Townhouse,PCC,2,4,23,0,42,17,0.46,176,24 Reid Dr,-78.032648,38.9776538
424,Streetsville NHD,45W,6555,Falconer Dr,Medium Density,RM4,Tecumseh Co-operative,2.99,7.388451,180,11543,124247.8179,0,0,11543,124247.8179,Townhouse,COOP-FED,17,3,113,0,38,15,0.386054,177,6555 Falconer Dr,-79.7304973,43.6045544
442,Sheridan NHD,18,2445,Homelands Dr,Medium Density,RM4,,1.25,3.088817,75,6800,73194.59079,0,0,6800,73194.59079,Townhouse,PCC,7,3,60,0,48,19,0.544,178,2445 Homelands Dr,-79.669298,43.523897
443,Sheridan NHD,18,2605,Woodchester Dr,Medium Density,RM4,Woodchester Mews,1.75,4.324344,184,9379,100954.7157,0,0,9379,100954.7157,Townhouse,PCC,8,2,92,0,53,21,0.535943,179,2605 Woodchester Dr,-79.6745193,43.5259339
444,Sheridan NHD,18,26162626,Woodchester Dr,Medium Density,RM4,,1.71,4.225502,90,8619,92774.14382,0,0,8619,92774.14382,Townhouse,RNTL,4,2,71,0,42,17,0.504035,180,26162626 Woodchester Dr,-95.6242449,29.6432246
449,Sheridan NHD,18,2125-2165,Sheridan Park Dr,High Density,RA1-18,Brooks Cooperative Homes,2,4.942108,110,10361,111524.8758,0,0,10361,111524.8758,Townhouse,COOP-FED,5,3,85,0,42,17,0.51805,181,2125-2165 Sheridan Park Dr,-106.9731799,44.8110086
461,Erindale NHD,16,1051,Cedarglen Gate,Medium Density,RM4,,1.79,4.423186,138,8939,96218.59515,0,0,8939,96218.59515,Townhouse,PCC,8,3,61,0,34,14,0.499385,182,1051 Cedarglen Gate,-79.6407584,43.5567719
462,Erindale NHD,16,900,Dundas St W,Medium Density,RM4,Partridge Place,0.83,2.050975,59,7747,83388.01395,0,0,7747,83388.01395,Townhouse,PCC,5,3,26,0,31,13,0.933373,183,900 Dundas St W,-79.637612,43.561318
463,East Credit NHD,38E,1400,Bristol Rd W,Medium Density,RM4,Fletchers Creek (Tornat Co-Op),2.3,5.683424,79,8454,90998.09861,0,0,8454,90998.09861,Townhouse,COOP-ROP,12,2,79,0,34,14,0.367565,184,1400 Bristol Rd W,-79.6958649,43.5862544
464,Erindale NHD,17,1432-1488,Credit Woodlands Crt,Medium Density,RM5-2,Valley Square,0.595,1.470277,42,3900,41979.2506,0,0,3900,41979.2506,Townhouse,Freehold,3,3,20,0,34,14,0.655462,185,1432-1488 Credit Woodlands Crt,-79.6497376,43.5487668
465,Erindale NHD,16,1219-1274,Cornerbrook Pl,Medium Density,RM5,Mississauga Place,1,2.471054,90,7000,75347.37287,0,0,7000,75347.37287,Townhouse,Freehold,6,3,45,0,45,18,0.7,186,1219-1274 Cornerbrook Pl,-79.6470459,43.552571
466,Erindale NHD,16,1021/1020,Cedarglen Gate,Medium Density,RM4,Cedarglen Place,1.26,3.113528,98,5262,56639.69658,0,0,5262,56639.69658,Townhouse,PCC,5,3,42,0,33,13,0.417619,187,1021/1020 Cedarglen Gate,-79.6391612,43.5579678
469,Erindale NHD,16, 17,1284-1322/2608-2631/1346-1420,Wiltshire Lane/Bridlewood Crt/Credit Woodlands Crt,Medium Density,RM5-2,Mississauga Place ,2.1449,5.300163,176,13600,146389.1816,0,0,13600,146389.1816,Townhouse,COOP-FED,13,3,88,0,41,17,0.634062,188,1284-1322/2608-2631/1346-1420 Wiltshire Lane/Bridlewood Crt/Credit Woodlands Crt,NA,NA
473,Lakeview NHD,6,1616,Haig Blvd,Medium Density,RM4,,1.15,2.841712,113,NA,NA,0,0,NA,NA,Townhouse,PCC,4,3,50,0,43,18,NA,189,1616 Haig Blvd,-79.5717804,43.5913304
485,Lakeview NHD,6,1211-1241,Parkwest Pl,High Density,RM9-2,The West Village,0.81,2.001554,109,6820,73409.869,0,0,6820,73409.869,Townhouse,PCC,4,2,56,0,69,28,0.841975,190,1211-1241 Parkwest Pl,-79.5713181,43.5756673
487,Lakeview NHD,6,1194-1246,Upper Village Dr,High Density,RM9-2,The West Village,0.557,1.376377,56,3421,36823.33751,0,0,3421,36823.33751,Townhouse,PCC,4,3,24,0,43,17,0.614183,191,1194-1246 Upper Village Dr,-79.570924,43.576569
490,Lakeview NHD,6,1194-1246,West Shore Dr,High Density,RM9-2,The West Village,0.4842,1.196484,56,3225,34713.61107,0,0,3225,34713.61107,Townhouse,PCC,4,3,24,0,50,20,0.666047,192,1194-1246 West Shore Dr,-98.6188847,45.5613179
492,Lakeview NHD,6,1223-1277,Woodhill Crt,Medium Density,RM5-10,,0.34,0.840158,NA,NA,NA,0,0,NA,NA,Townhouse,COOP-FED,4,3,16,0,47,19,NA,193,1223-1277 Woodhill Crt,-86.2536542,32.4012236
497,DT Fairview,22,60,Hanson Rd,Medium Density,RM4,Hampton Oaks,4.16,10.279584,327,18580,199993.4554,0,0,18580,199993.4554,Townhouse,PCC,19,3,145,0,35,14,0.446635,194,60 Hanson Rd,-120.600148,47.002513
499,DT Fairview,22,2-22,Hanson Rd,Medium Density,RM5,Hanson Road Townhouses,0.29,0.716606,22,2037,21926.08551,0,0,2037,21926.08551,Townhouse,Freehold,4,2,11,0,38,15,0.702414,195,2-22 Hanson Rd,-105.9548972,39.609045
